#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   1  30    1e-164  6.2e-161  535.4  19.6     1   249     1   249     1   285 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   2  30   1.2e-10   7.5e-07   24.0  11.4   238   286   288   341   273   348 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   3  30   1.1e-30   6.7e-27   90.5   0.2   278   354   374   452   361   456 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   4  30   0.00081       4.9    1.3   0.0   347   368   477   498   470   515 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   5  30  4.6e-147  2.8e-143  476.8  16.0   417   646   651   880   634   890 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   6  30  8.7e-243  5.3e-239  794.6  30.2   647  1063   939  1383   936  1423 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   7  30    0.0014       8.5    0.5   5.2  1052  1103  1432  1497  1425  1533 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   8  30   6.5e-54     4e-50  167.6  18.8  1092  1219  1555  1681  1513  1691 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3   9  30   2.4e-05      0.14    6.4   0.0  1215  1246  1841  1873  1834  1881 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3  10  30   9.9e-46     6e-42  140.5   9.3  1250  1341  2033  2129  1992  2152 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3  11  30   8.8e-50   5.3e-46  153.9   2.7  1340  1444  2167  2283  2154  2292 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68495.1           -           7224 18at5820             -           4644         0 7637.1 563.3  12  30   1.7e-82     1e-78  262.5   6.6  1441  1622  2338  2562  2326  2581 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
