#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   1  14     5e-06      0.03   10.6   0.3     1    22    22    43    22    55 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   2  14     5e-08    0.0003   17.2   4.5    22    57   113   154   103   167 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   3  14   4.5e-38   2.7e-34  116.6   5.6    54   145   199   291   190   299 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   4  14   1.3e-17     8e-14   48.9   6.9   128   184   331   387   311   394 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   5  14     0.028   1.7e+02   -1.8   9.5   164   267   395   502   389   533 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   6  14   1.8e-06     0.011   12.0   2.1   200   261   682   737   661   754 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   7  14   2.9e-19   1.8e-15   54.4   2.1   232   298   805   884   797   888 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   8  14   0.00094       5.7    3.0   0.3   295   317   978  1000   973  1011 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7   9  14   2.5e-59   1.5e-55  187.0  13.9   311   413  1048  1150  1029  1159 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7  10  14   7.6e-07    0.0046   13.3   1.0   415   450  1241  1277  1230  1287 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7  11  14   1.4e-25   8.4e-22   75.3   0.0   441   498  1334  1392  1329  1395 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7  12  14   5.6e-59   3.4e-55  185.8   7.9   494   618  1440  1577  1420  1584 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7  13  14   3.7e-16   2.3e-12   44.1   0.2   615   661  1614  1664  1611  1684 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69400.1           -           2046 1125at5820           -            967         0 1228.5 192.7  14  14  1.5e-160  8.9e-157  522.0  50.7   661   967  1692  2041  1678  2041 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1125at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1125at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1125at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:30 2026
# [ok]
