#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO64889.1           -           1347 2235at5820           -            813         0 1305.4  95.0   1   7   9.8e-49     3e-45  153.0   5.6     1   130     1   137     1   151 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64889.1           -           1347 2235at5820           -            813         0 1305.4  95.0   2   7   8.5e-61   2.6e-57  192.9  15.9    81   217   263   410   250   416 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64889.1           -           1347 2235at5820           -            813         0 1305.4  95.0   3   7   6.4e-34   1.9e-30  104.0   0.3   226   301   465   544   448   548 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64889.1           -           1347 2235at5820           -            813         0 1305.4  95.0   4   7   1.5e-18   4.6e-15   53.2   0.1   295   345   586   639   577   659 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64889.1           -           1347 2235at5820           -            813         0 1305.4  95.0   5   7  6.4e-103     2e-99  332.3  12.0   339   557   742   987   727  1001 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64889.1           -           1347 2235at5820           -            813         0 1305.4  95.0   6   7  1.4e-141  4.2e-138  460.2  26.3   554   769  1040  1255  1037  1283 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO64889.1           -           1347 2235at5820           -            813         0 1305.4  95.0   7   7   1.1e-12   3.3e-09   33.8   0.0   766   813  1290  1347  1276  1347 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68378.1           -            268 2235at5820           -            813       7.8    2.8  21.4   1   2   3.8e-05      0.11    8.9   1.7    44   127    13   106     4   129 0.61 Plasmodium exported protein, unknown function [Plasmodium vivax]
SCO68378.1           -            268 2235at5820           -            813       7.8    2.8  21.4   2   2     0.026        79   -0.5  12.3    58   152   171   265   161   267 0.68 Plasmodium exported protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2235at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2235at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2235at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:58 2026
# [ok]
