#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67263.1           -            464 6772at5820           -            379    8e-229  757.7   2.9   1   1  1.9e-231  9.1e-229  757.5   2.9     1   379     1   439     1   439 0.98 guanine nucleotide-exchange factor SEC12, putative [Plasmodium vivax]
SCO67557.1           -            660 6772at5820           -            379   9.2e-12   43.2   5.7   1   6    0.0013      0.61    7.6   0.0   133   195    95   157    86   166 0.75 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 6772at5820           -            379   9.2e-12   43.2   5.7   2   6    0.0014      0.66    7.5   0.0   115   190   127   194   112   216 0.67 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 6772at5820           -            379   9.2e-12   43.2   5.7   3   6      0.25   1.2e+02    0.1   0.1   149   197   359   408   349   437 0.67 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 6772at5820           -            379   9.2e-12   43.2   5.7   4   6   6.1e-05     0.029   12.0   0.1   124   188   465   523   412   528 0.74 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 6772at5820           -            379   9.2e-12   43.2   5.7   5   6   8.7e-05     0.041   11.5   0.0   153   205   530   583   525   589 0.80 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 6772at5820           -            379   9.2e-12   43.2   5.7   6   6   0.00059      0.28    8.7   0.1   153   188   624   659   609   660 0.89 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO65843.1           -            324 6772at5820           -            379   4.4e-11   41.0  12.3   1   5   0.00054      0.25    8.9   0.2   146   191    66   111    32   117 0.77 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6772at5820           -            379   4.4e-11   41.0  12.3   2   5   2.3e-05     0.011   13.4   1.0   153   197   115   158   111   159 0.88 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6772at5820           -            379   4.4e-11   41.0  12.3   3   5   0.00084      0.39    8.2   0.1   212   257   150   192   149   196 0.85 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6772at5820           -            379   4.4e-11   41.0  12.3   4   5   0.00024      0.11   10.1   0.0   153   192   196   236   190   240 0.91 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 6772at5820           -            379   4.4e-11   41.0  12.3   5   5   0.00041      0.19    9.3   0.1   142   184   275   319   252   323 0.75 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65804.1           -            322 6772at5820           -            379   1.1e-09   36.4   7.2   1   5   1.6e-05    0.0073   13.9   0.4   123   189    35   100    21   106 0.83 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6772at5820           -            379   1.1e-09   36.4   7.2   2   5    0.0001     0.048   11.2   0.1   151   193   104   146   100   158 0.86 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6772at5820           -            379   1.1e-09   36.4   7.2   3   5   2.2e-05      0.01   13.4   0.1   113   195   159   235   143   246 0.79 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6772at5820           -            379   1.1e-09   36.4   7.2   4   5       1.6   7.4e+02   -2.5   0.0   123   141   253   271   246   279 0.71 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 6772at5820           -            379   1.1e-09   36.4   7.2   5   5       1.3   6.3e+02   -2.3   0.0   268   295   290   317   258   320 0.67 receptor for activated c kinase, putative [Plasmodium vivax]
SCO66532.1           -            880 6772at5820           -            379   8.1e-07   27.0  10.9   1   2    0.0051       2.4    5.7   0.0   269   321   156   208   138   215 0.82 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
SCO66532.1           -            880 6772at5820           -            379   8.1e-07   27.0  10.9   2   2   8.7e-07   0.00041   18.1   9.6   114   300   221   448   212   499 0.66 WD domain, G-beta repeat domain containing protein [Plasmodium vivax]
SCO69699.1           -            524 6772at5820           -            379   2.3e-05   22.2   8.9   1   1     1e-07   4.7e-05   21.1   8.9   117   273   227   389   175   403 0.81 alternative splicing regulator, putative [Plasmodium vivax]
SCO65022.1           -            365 6772at5820           -            379   5.7e-05   20.9   1.7   1   2   1.2e-07   5.7e-05   20.9   1.7   146   221     3    79     1   104 0.85 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
SCO65022.1           -            365 6772at5820           -            379   5.7e-05   20.9   1.7   2   2     0.022        10    3.6   2.5   123   190   159   260   123   303 0.62 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
SCO67037.1           -            498 6772at5820           -            379   0.00016   19.4   2.9   1   2     2e-05    0.0095   13.6   0.6   121   196   266   421   248   431 0.85 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO67037.1           -            498 6772at5820           -            379   0.00016   19.4   2.9   2   2     0.035        17    2.9   0.1   295   332   458   495   430   498 0.69 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO65322.1           -            499 6772at5820           -            379   0.00042   18.0   2.3   1   2   0.00079      0.37    8.3   0.0   287   332    88   134    55   143 0.68 protein SOF1, putative [Plasmodium vivax]
SCO65322.1           -            499 6772at5820           -            379   0.00042   18.0   2.3   2   2    0.0083       3.9    5.0   0.1   156   226   333   397   318   397 0.80 protein SOF1, putative [Plasmodium vivax]
SCO65922.1           -            458 6772at5820           -            379    0.0023   15.6   0.6   1   2       0.2        93    0.4   0.1   173   192   286   305   262   312 0.77 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO65922.1           -            458 6772at5820           -            379    0.0023   15.6   0.6   2   2   4.9e-05     0.023   12.3   0.1   124   190   342   402   311   436 0.60 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO70063.1           -            763 6772at5820           -            379    0.0026   15.4   4.4   1   2   1.1e-05    0.0054   14.4   0.5   158   190    10    42     3    70 0.91 protein transport protein SEC13, putative [Plasmodium vivax]
SCO70063.1           -            763 6772at5820           -            379    0.0026   15.4   4.4   2   2     0.067        31    2.0   0.1   126   187   198   261   187   283 0.75 protein transport protein SEC13, putative [Plasmodium vivax]
SCO70259.1           -            565 6772at5820           -            379      0.01   13.5   1.4   1   2   3.9e-05     0.018   12.6   0.4   122   191    87   157    71   177 0.85 coronin, putative [Plasmodium vivax]
SCO70259.1           -            565 6772at5820           -            379      0.01   13.5   1.4   2   2      0.57   2.7e+02   -1.1   0.0    97   140   200   248   173   262 0.67 coronin, putative [Plasmodium vivax]
SCO68313.1           -            361 6772at5820           -            379     0.019   12.6   1.0   1   2   8.8e-05     0.041   11.5   0.2   156   202   188   234   175   263 0.77 diphthine methyltransferase, putative [Plasmodium vivax]
SCO68313.1           -            361 6772at5820           -            379     0.019   12.6   1.0   2   2      0.36   1.7e+02   -0.4   0.1   130   171   301   342   232   360 0.52 diphthine methyltransferase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6772at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6772at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6772at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:53:02 2026
# [ok]
