#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   1  16  3.4e-181    2e-177  590.8  76.7     1   351     1   403     1   408 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   2  16     3e-18   1.8e-14   50.3   5.5   341   398   485   545   476   554 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   3  16   2.1e-49   1.3e-45  153.7   7.7   366   486   558   678   549   701 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   4  16   9.3e-48   5.7e-44  148.2  11.4   482   579   754   852   747   866 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   5  16   4.6e-70   2.8e-66  222.2  18.0   575   722   885  1034   880  1062 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   6  16   2.8e-41   1.7e-37  126.7  11.8   710   803  1271  1365  1261  1410 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   7  16   4.8e-40   2.9e-36  122.6   4.4   793   879  1419  1506  1401  1518 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   8  16  8.4e-129  5.1e-125  417.0  38.0   870  1146  1556  1870  1549  1882 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1   9  16   2.8e-19   1.7e-15   53.8   0.1  1146  1202  1991  2045  1983  2070 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1  10  16  1.3e-124  7.6e-121  403.2  46.3  1190  1409  2153  2372  2147  2385 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1  11  16   3.6e-21   2.2e-17   60.0   0.1  1405  1446  2482  2523  2476  2539 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1  12  16  5.5e-104  3.4e-100  334.7  21.5  1440  1657  2645  2885  2636  2899 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1  13  16   7.5e-19   4.6e-15   52.4   0.2  1656  1728  2938  3021  2929  3029 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1  14  16   3.5e-67   2.1e-63  212.7  22.2  1705  1870  3115  3287  3100  3305 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1  15  16  1.2e-112  7.1e-109  363.5  44.2  1858  2094  3311  3575  3284  3584 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65263.1           -           3703 363at5820            -           2139         0 3280.2 411.1  16  16   1.7e-16     1e-12   44.6   0.2  2104  2139  3668  3703  3653  3703 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/363at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/363at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/363at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:46 2026
# [ok]
