#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65430.1           -           1341 3262at5820           -            627  5.5e-268  889.2  67.2   1   7     0.088   1.8e+02   -1.1   2.3     1    40    21    59    21    70 0.80 RNA-binding protein, putative [Plasmodium vivax]
SCO65430.1           -           1341 3262at5820           -            627  5.5e-268  889.2  67.2   2   7   1.4e-66   2.9e-63  213.0   7.6     5   140    97   232    92   236 0.93 RNA-binding protein, putative [Plasmodium vivax]
SCO65430.1           -           1341 3262at5820           -            627  5.5e-268  889.2  67.2   3   7   2.5e-06     0.005   14.0   0.4   136   163   280   307   277   339 0.82 RNA-binding protein, putative [Plasmodium vivax]
SCO65430.1           -           1341 3262at5820           -            627  5.5e-268  889.2  67.2   4   7   7.6e-49   1.5e-45  154.4   1.4   176   308   664   804   638   830 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO65430.1           -           1341 3262at5820           -            627  5.5e-268  889.2  67.2   5   7   1.7e-89   3.5e-86  288.7   2.5   307   498   861  1064   841  1074 0.85 RNA-binding protein, putative [Plasmodium vivax]
SCO65430.1           -           1341 3262at5820           -            627  5.5e-268  889.2  67.2   6   7      0.18   3.6e+02   -2.1   2.8   453   502  1079  1128  1066  1136 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO65430.1           -           1341 3262at5820           -            627  5.5e-268  889.2  67.2   7   7   1.8e-79   3.6e-76  255.6   5.9   501   626  1215  1340  1190  1341 0.96 RNA-binding protein, putative [Plasmodium vivax]
SCO70005.1           -            110 3262at5820           -            627    0.0043   14.2   0.1   1   1   2.4e-06    0.0048   14.0   0.1    67   138    16    91     5   107 0.73 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO67408.1           -            156 3262at5820           -            627     0.074   10.1   6.0   1   1   5.6e-05      0.11    9.5   6.0   345   441     3   107     1   156 0.69 RNA-binding protein s1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3262at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3262at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3262at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:06 2026
# [ok]
