#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69446.1           -            304 8326at5820           -            292  2.9e-213  704.8   2.2   1   1  4.8e-216  3.2e-213  704.6   2.2     1   292     1   292     1   292 1.00 serine/threonine protein phosphatase PP1, putative [Plasmodium vivax]
SCO66601.1           -            307 8326at5820           -            292   1.4e-88  295.5   3.2   1   1   2.6e-91   1.8e-88  295.2   3.2    27   291    18   282     5   283 0.97 serine/threonine protein phosphatase 4, putative [Plasmodium vivax]
SCO66576.1           -            504 8326at5820           -            292   2.3e-85  285.0   2.4   1   1   4.9e-88   3.3e-85  284.4   2.4    29   287   213   477   201   482 0.95 protein phosphatase-beta, putative [Plasmodium vivax]
SCO66978.1           -            308 8326at5820           -            292   8.2e-78  260.2   1.6   1   1   1.5e-80     1e-77  259.8   1.6    28   287    21   281     7   286 0.96 serine/threonine protein phosphatase 6, putative [Plasmodium vivax]
SCO68786.1           -            881 8326at5820           -            292   3.6e-67  225.3   1.5   1   1   1.9e-69   1.3e-66  223.4   1.5    32   285   544   832   535   837 0.83 protein phosphatase containing kelch-like domains, putative [Plasmodium vivax]
SCO65028.1           -            564 8326at5820           -            292   6.8e-66  221.1   1.2   1   1   1.5e-68     1e-65  220.5   1.2    41   286    66   326    50   332 0.90 serine/threonine protein phosphatase 2B catalytic subunit A, putative [Plasmodium vivax]
SCO68067.1           -            682 8326at5820           -            292   4.2e-65  218.5   0.5   1   1     1e-67   6.9e-65  217.8   0.5    50   282   415   648   377   654 0.92 serine/threonine protein phosphatase 5, putative [Plasmodium vivax]
SCO69362.1           -            956 8326at5820           -            292   4.3e-47  159.4   2.4   1   2   6.3e-50   4.3e-47  159.4   2.4    55   287   239   481   208   486 0.87 serine/threonine protein phosphatase 7, putative [Plasmodium vivax]
SCO69362.1           -            956 8326at5820           -            292   4.3e-47  159.4   2.4   2   2      0.94   6.4e+02   -2.0   0.0   158   188   708   738   704   745 0.86 serine/threonine protein phosphatase 7, putative [Plasmodium vivax]
SCO66107.1           -           2027 8326at5820           -            292   1.9e-37  127.7   0.9   1   2     4e-06    0.0027   15.6   0.0    29    95  1105  1174  1093  1184 0.81 serine/threonine protein phosphatase 8, putative [Plasmodium vivax]
SCO66107.1           -           2027 8326at5820           -            292   1.9e-37  127.7   0.9   2   2     2e-33   1.3e-30  105.2   0.7    81   279  1227  1473  1222  1481 0.76 serine/threonine protein phosphatase 8, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8326at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8326at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8326at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:07 2026
# [ok]
