#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65643.1           -            245 12757at5820          -            176  5.1e-110  363.6  18.5   1   2   5.5e-34     2e-31  107.7   1.4     1    56     1    56     1    67 0.97 ras-related protein Rab-5A, putative [Plasmodium vivax]
SCO65643.1           -            245 12757at5820          -            176  5.1e-110  363.6  18.5   2   2   3.4e-81   1.2e-78  261.4   9.8    52   176    99   223    67   223 0.93 ras-related protein Rab-5A, putative [Plasmodium vivax]
SCO65132.1           -            194 12757at5820          -            176   4.6e-48  161.8   0.1   1   1   1.7e-50   5.9e-48  161.5   0.1    12   163    13   167     3   173 0.91 ras-related protein Rab-5C, putative [Plasmodium vivax]
SCO70067.1           -            213 12757at5820          -            176   8.9e-40  134.9   0.1   1   1   3.1e-42   1.1e-39  134.5   0.1     7   175     8   178     4   179 0.97 ras-related protein Rab-2, putative [Plasmodium vivax]
SCO69693.1           -            205 12757at5820          -            176   1.1e-39  134.5   0.6   1   1   4.2e-42   1.5e-39  134.1   0.6     5   166    31   194    26   201 0.91 ras-related protein Rab-5B, putative [Plasmodium vivax]
SCO69792.1           -            216 12757at5820          -            176   9.3e-37  125.0   3.1   1   1   3.4e-39   1.2e-36  124.6   3.1     7   166    12   175     5   180 0.93 ras-related protein Rab-11A, putative [Plasmodium vivax]
SCO67546.1           -            207 12757at5820          -            176   1.2e-36  124.6   0.5   1   2   3.5e-39   1.2e-36  124.6   0.5     6   163    11   171     7   179 0.92 ras-related protein Rab-6, putative [Plasmodium vivax]
SCO67546.1           -            207 12757at5820          -            176   1.2e-36  124.6   0.5   2   2       2.5     9e+02   -2.0   0.0   135   156   180   201   172   204 0.75 ras-related protein Rab-6, putative [Plasmodium vivax]
SCO67760.1           -            207 12757at5820          -            176   4.8e-36  122.7   1.3   1   1   1.7e-38     6e-36  122.4   1.3     7   167    13   176     7   184 0.94 ras-related protein Rab-1A, putative [Plasmodium vivax]
SCO64983.1           -            201 12757at5820          -            176   4.4e-35  119.6   5.8   1   1   1.4e-37     5e-35  119.4   5.8     8   167    12   174     1   181 0.90 ras-related protein Rab-18, putative [Plasmodium vivax]
SCO67772.1           -            200 12757at5820          -            176   5.7e-35  119.2   4.4   1   1     2e-37   7.2e-35  118.9   4.4     5   166     7   171     3   180 0.93 ras-related protein Rab-1B, putative [Plasmodium vivax]
SCO66352.1           -            206 12757at5820          -            176   2.1e-30  104.3   1.2   1   1   7.7e-33   2.7e-30  104.0   1.2     3   166     5   176     2   182 0.90 ras-related protein RAB7, putative [Plasmodium vivax]
SCO68523.1           -            229 12757at5820          -            176   2.6e-29  100.8   0.3   1   1     1e-31   3.6e-29  100.3   0.3     5   171     8   182     4   186 0.90 ras-related protein Rab-11B, putative [Plasmodium vivax]
SCO67276.1           -            214 12757at5820          -            176   1.6e-20   72.1   0.0   1   1   5.9e-23   2.1e-20   71.8   0.0     6   164     9   167     4   195 0.93 GTP-binding nuclear protein RAN/TC4, putative [Plasmodium vivax]
SCO68452.1           -            224 12757at5820          -            176   4.4e-06   25.1   0.6   1   2      0.24        85    1.4   0.2   113   164    22    76     9    84 0.74 GTPase, putative [Plasmodium vivax]
SCO68452.1           -            224 12757at5820          -            176   4.4e-06   25.1   0.6   2   2   1.2e-08   4.4e-06   25.1   0.6    78   167   110   206    97   213 0.80 GTPase, putative [Plasmodium vivax]
SCO66148.1           -            181 12757at5820          -            176   6.3e-06   24.6   0.0   1   1     2e-08   7.1e-06   24.4   0.0     6   121    17   130    12   176 0.69 ADP-ribosylation factor, putative [Plasmodium vivax]
SCO66285.1           -            178 12757at5820          -            176   6.8e-06   24.5   1.5   1   1   2.2e-08   7.9e-06   24.3   1.5     9   141    20   146    14   177 0.73 ADP-ribosylation factor, putative [Plasmodium vivax]
SCO69030.1           -            185 12757at5820          -            176   0.00023   19.5   1.4   1   1   9.2e-07   0.00033   19.0   1.4     2   165    12   178    11   184 0.73 ADP-ribosylation-like factor, putative [Plasmodium vivax]
SCO65989.1           -            191 12757at5820          -            176     0.048   12.0   0.0   1   1   0.00018     0.065   11.5   0.0    11   122    25   134    17   164 0.74 small GTP-binding protein sar1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12757at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12757at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12757at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:26 2026
# [ok]
