#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   1   9    0.0087        53    0.1   0.0     2    24   329   352   328   355 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   2   9   4.1e-89   2.5e-85  285.6   0.1    18   207   407   603   403   606 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   3   9    0.0076        46    0.3   0.0   200   220   623   643   615   656 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   4   9   2.3e-18   1.4e-14   51.6   3.5   221   256   778   813   770   820 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   5   9   1.3e-51   7.6e-48  161.7   0.6   257   360   872   977   870   986 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   6   9   1.6e-19   9.9e-16   55.4   0.1   360   413  1079  1135  1065  1140 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   7   9   2.3e-57   1.4e-53  180.6   0.0   413   522  1178  1294  1170  1305 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   8   9   1.4e-42   8.6e-39  131.7   0.0   516   603  1325  1415  1319  1424 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67393.1           -           1735 1332at5820           -            802         0 1242.5  40.2   9   9  1.7e-119    1e-115  386.1  10.7   603   801  1535  1734  1498  1735 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1332at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1332at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1332at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:32:02 2026
# [ok]
