#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67369.1           -             86 14966at5820          -             76     5e-55  182.1   0.8   1   1   1.2e-57   5.7e-55  181.9   0.8     1    76     5    80     5    80 0.99 U6 snRNA-associated Sm-like protein LSm6, putative [Plasmodium vivax]
SCO68676.1           -             77 14966at5820          -             76   1.2e-16   59.1   0.0   1   1   2.6e-19   1.2e-16   59.1   0.0     5    73     5    73     1    77 0.95 U6 snRNA-associated Sm-like protein LSm6, putative [Plasmodium vivax]
SCO67175.1           -            127 14966at5820          -             76   7.3e-05   21.4   0.0   1   1   2.1e-07    0.0001   20.9   0.0    10    74     8    73     2    75 0.85 U6 snRNA-associated Sm-like protein LSm4, putative [Plasmodium vivax]
SCO67696.1           -            103 14966at5820          -             76   0.00018   20.1   0.0   1   1   4.7e-07   0.00022   19.8   0.0    16    47    15    46     4    73 0.78 U6 snRNA-associated Sm-like protein LSm2, putative [Plasmodium vivax]
SCO68431.1           -             94 14966at5820          -             76   0.00054   18.6   0.1   1   1   1.3e-06   0.00063   18.4   0.1    28    75    41    89    16    90 0.85 small nuclear ribonucleoprotein E, putative [Plasmodium vivax]
SCO65872.1           -             91 14966at5820          -             76    0.0013   17.4   0.0   1   1   4.3e-06     0.002   16.7   0.0     5    50     9    54     4    89 0.87 U6 snRNA-associated Sm-like protein LSm3, putative [Plasmodium vivax]
SCO65848.1           -             83 14966at5820          -             76    0.0028   16.3   0.1   1   1   7.5e-06    0.0035   16.0   0.1    16    70    20    73     9    78 0.85 small nuclear ribonucleoprotein G, putative [Plasmodium vivax]
SCO67355.1           -            127 14966at5820          -             76    0.0037   15.9   1.0   1   1   2.6e-05     0.012   14.2   1.0     8    70     5    77     2    83 0.78 small nuclear ribonucleoprotein Sm D1, putative [Plasmodium vivax]
SCO69442.1           -            201 14966at5820          -             76    0.0038   15.9   0.1   1   1   2.5e-05     0.012   14.3   0.0    26    69    23    74     6    81 0.72 small nuclear ribonucleoprotein-associated protein B, putative [Plasmodium vivax]
SCO69017.1           -            101 14966at5820          -             76     0.004   15.8   0.2   1   1   1.1e-05     0.005   15.5   0.2     8    50    14    56     9    78 0.87 U6 snRNA-associated Sm-like protein LSm5, putative [Plasmodium vivax]
SCO69193.1           -            107 14966at5820          -             76     0.009   14.7   0.0   1   1   2.6e-05     0.012   14.2   0.0    15    52    25    62    14    71 0.88 U6 snRNA-associated Sm-like protein LSm7, putative [Plasmodium vivax]
SCO65779.1           -             95 14966at5820          -             76     0.013   14.2   0.3   1   1   3.8e-05     0.018   13.7   0.3    20    73    16    71     4    75 0.77 U6 snRNA-associated Sm-like protein LSm8, putative [Plasmodium vivax]
SCO67730.1           -            165 14966at5820          -             76     0.028   13.1   0.0   1   1    0.0001     0.047   12.3   0.0    26    68    98   139    88   146 0.82 60S ribosomal protein L12, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14966at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14966at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14966at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:35 2026
# [ok]
