#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67604.1           -            927 3266at5820           -            679         0 1129.5  73.8   1   3  8.2e-231  1.2e-227  755.9  50.1     6   439    26   496    19   555 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67604.1           -            927 3266at5820           -            679         0 1129.5  73.8   2   3   8.2e-54   1.3e-50  170.9   2.0   473   573   690   790   677   796 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67604.1           -            927 3266at5820           -            679         0 1129.5  73.8   3   3   6.4e-65   9.8e-62  207.7   6.2   562   679   810   927   806   927 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3266at5820           -            679   2.7e-14   50.9  48.6   1   3   5.6e-07   0.00085   16.2   1.9   317   422    79   185    72   191 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3266at5820           -            679   2.7e-14   50.9  48.6   2   3   5.6e-10   8.6e-07   26.1  21.8   122   330   190   403   185   408 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3266at5820           -            679   2.7e-14   50.9  48.6   3   3   8.3e-09   1.3e-05   22.2  20.1   228   404   336   515   336   523 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3266at5820           -            679   1.4e-09   35.3  15.7   1   4   6.9e-05       0.1    9.3   0.3   200   290   158   251   137   256 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3266at5820           -            679   1.4e-09   35.3  15.7   2   4   1.3e-08     2e-05   21.6   1.1   198   291   199   289   188   297 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3266at5820           -            679   1.4e-09   35.3  15.7   3   4   2.6e-10   3.9e-07   27.2   7.5   196   421   272   454   264   458 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3266at5820           -            679   1.4e-09   35.3  15.7   4   4     0.094   1.4e+02   -1.1   0.3   260   298   482   519   469   554 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66114.1           -            720 3266at5820           -            679      0.41    7.3   6.5   1   3    0.0013       1.9    5.1   0.1   239   293   113   167   104   180 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66114.1           -            720 3266at5820           -            679      0.41    7.3   6.5   2   3    0.0016       2.5    4.7   0.1   250   294   232   276   221   309 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66114.1           -            720 3266at5820           -            679      0.41    7.3   6.5   3   3     0.092   1.4e+02   -1.1   0.3   105   398   503   568   426   592 0.62 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3266at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3266at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3266at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:38:08 2026
# [ok]
