#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69871.1           -            923 4079at5820           -            677         0 1224.2 132.2   1   5   5.1e-05    0.0082   12.8  20.0     1    84     1    82     1    94 0.63 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69871.1           -            923 4079at5820           -            677         0 1224.2 132.2   2   5        10   1.6e+03   -4.7  19.6    15    99    75   160    65   195 0.57 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69871.1           -            923 4079at5820           -            677         0 1224.2 132.2   3   5         0         0 1208.0  42.5    48   654   188   819   179   822 0.93 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69871.1           -            923 4079at5820           -            677         0 1224.2 132.2   4   5     0.016       2.5    4.5  16.6   611   654   813   857   811   863 0.83 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69871.1           -            923 4079at5820           -            677         0 1224.2 132.2   5   5   1.4e-07   2.2e-05   21.3  18.2   614   677   858   919   853   919 0.75 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO67714.1           -           1006 4079at5820           -            677   1.1e-90  303.1   1.8   1   2       4.8   7.7e+02   -3.7   1.9    36    90   352   407   327   459 0.64 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO67714.1           -           1006 4079at5820           -            677   1.1e-90  303.1   1.8   2   2   9.8e-93   1.6e-90  302.7   0.0   190   593   586   979   570   985 0.91 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO68991.1           -            528 4079at5820           -            677   2.2e-88  295.6   4.5   1   2   5.3e-35   8.5e-33  111.9   0.4   192   375   120   287   103   291 0.92 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO68991.1           -            528 4079at5820           -            677   2.2e-88  295.6   4.5   2   2   4.7e-56   7.6e-54  181.4   0.0   400   634   292   527   288   528 0.90 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO70027.1           -            717 4079at5820           -            677   1.2e-78  263.4   3.0   1   2   9.2e-10   1.5e-07   28.4   0.0   188   249   281   341   256   350 0.85 DNA helicase 60, putative [Plasmodium vivax]
SCO70027.1           -            717 4079at5820           -            677   1.2e-78  263.4   3.0   2   2   2.3e-69   3.6e-67  225.4   2.8   278   591   405   706   400   712 0.91 DNA helicase 60, putative [Plasmodium vivax]
SCO67619.1           -            667 4079at5820           -            677   2.1e-76  256.0  25.9   1   2   1.5e-22   2.5e-20   70.7  20.4    24   375    38   401    21   405 0.66 RNA helicase 1, putative [Plasmodium vivax]
SCO67619.1           -            667 4079at5820           -            677   2.1e-76  256.0  25.9   2   2   3.5e-56   5.5e-54  181.9   0.2   399   596   405   601   400   665 0.90 RNA helicase 1, putative [Plasmodium vivax]
SCO67810.1           -           1450 4079at5820           -            677   1.7e-71  239.7   7.6   1   2   6.6e-37   1.1e-34  118.2   0.5   132   375   614   844   593   848 0.83 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO67810.1           -           1450 4079at5820           -            677   1.7e-71  239.7   7.6   2   2   6.3e-42     1e-39  134.7   1.6   400   614   849  1070   846  1097 0.86 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO66253.1           -           1015 4079at5820           -            677   2.1e-71  239.5  10.5   1   1   1.1e-72   1.7e-70  236.4  10.5    76   597   509  1014   466  1015 0.80 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO68760.1           -            398 4079at5820           -            677   8.4e-58  194.5   3.4   1   3   3.1e-08     5e-06   23.4   0.0   182   242    22    80    12    91 0.85 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO68760.1           -            398 4079at5820           -            677   8.4e-58  194.5   3.4   2   3   2.8e-16   4.5e-14   50.0   0.1   277   373    94   190    85   195 0.93 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO68760.1           -            398 4079at5820           -            677   8.4e-58  194.5   3.4   3   3   7.1e-38   1.1e-35  121.3   0.2   400   580   197   376   187   389 0.93 eukaryotic initiation factor 4a, putative [Plasmodium vivax]
SCO65570.1           -            536 4079at5820           -            677   2.2e-56  189.8   5.6   1   3   1.4e-10   2.2e-08   31.2   0.0   188   246   132   190   113   196 0.91 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO65570.1           -            536 4079at5820           -            677   2.2e-56  189.8   5.6   2   3   5.5e-16   8.8e-14   49.0   0.2   277   372   200   296   193   300 0.94 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO65570.1           -            536 4079at5820           -            677   2.2e-56  189.8   5.6   3   3   3.6e-34   5.7e-32  109.1   2.2   399   574   303   477   297   493 0.95 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO67853.1           -            720 4079at5820           -            677   6.2e-50  168.5   0.4   1   1   1.1e-49   1.8e-47  160.4   0.4   206   577   147   513   126   526 0.86 ATP-dependent helicase, putative [Plasmodium vivax]
SCO68599.1           -            489 4079at5820           -            677   7.1e-46  155.1   0.1   1   2   3.3e-07   5.3e-05   20.0   0.0   190   247    63   120    56   128 0.89 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO68599.1           -            489 4079at5820           -            677   7.1e-46  155.1   0.1   2   2   1.9e-41   3.1e-39  133.1   0.1   277   583   129   436   120   443 0.89 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO66039.1           -            388 4079at5820           -            677     2e-43  147.0   2.2   1   2    0.0023      0.37    7.3   0.0   190   245    20    75     3    83 0.85 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO66039.1           -            388 4079at5820           -            677     2e-43  147.0   2.2   2   2   5.8e-40   9.3e-38  128.2   2.5   277   579    86   369    78   386 0.89 eukaryotic initiation factor 4A-III, putative [Plasmodium vivax]
SCO68088.1           -            599 4079at5820           -            677   8.1e-43  145.0  18.8   1   2       8.4   1.3e+03   -4.5   4.1   625   673    11    58     3    68 0.56 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 4079at5820           -            677   8.1e-43  145.0  18.8   2   2   2.2e-43   3.5e-41  139.6   6.7   186   560   149   485   123   508 0.90 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
