#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   1   9   3.7e-38   2.2e-34  117.3   5.0     1    83     1   101     1   105 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   2   9  8.7e-132  5.3e-128  427.3  22.2    83   285   155   357   147   360 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   3   9   4.9e-74     3e-70  236.1  17.5   285   444   424   586   422   601 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   4   9   4.3e-46   2.6e-42  143.6   0.0   438   576   608   768   590   776 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   5   9     1e-12   6.4e-09   33.0   0.0   564   620   803   866   788   878 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   6   9   1.5e-47   9.2e-44  148.4   1.4   625   746   914  1044   908  1051 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   7   9   5.1e-29   3.1e-25   87.0   0.1   760   853  1135  1261  1103  1262 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   8   9   5.1e-59   3.1e-55  186.4   0.4   852   985  1342  1490  1339  1499 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65782.1           -           1654 1196at5820           -           1074         0 1496.7  81.1   9   9   8.9e-43   5.4e-39  132.6   1.1   983  1074  1553  1654  1542  1654 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1196at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1196at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:28:19 2026
# [ok]
