#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   1  20   2.3e-89   1.4e-85  285.8   7.9     2   170     6   176     5   180 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   2  20   5.6e-82   3.4e-78  261.3   1.1   164   376   209   444   203   450 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   3  20   9.7e-58   5.9e-54  180.9   0.3   375   488   514   627   510   631 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   4  20   4.7e-37   2.8e-33  112.2  19.4   488   591   662   792   658   799 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   5  20   4.2e-09   2.6e-05   19.5   0.1   589   644   825   894   815   907 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   6  20  3.6e-142  2.2e-138  461.0   0.8   639  1034   957  1422   954  1431 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   7  20   3.3e-60     2e-56  189.0   0.1  1028  1187  1505  1696  1496  1701 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   8  20   1.1e-39   6.7e-36  120.9   0.1  1186  1295  1761  1888  1755  1909 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1   9  20   1.7e-65     1e-61  206.6   2.6  1304  1440  1942  2088  1936  2099 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  10  20   9.1e-09   5.6e-05   18.4   1.0  1434  1466  2150  2184  2144  2186 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  11  20   5.5e-15   3.3e-11   39.0   0.2  1465  1500  2233  2268  2230  2275 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  12  20   3.5e-66   2.1e-62  208.9   8.6  1500  1636  2348  2489  2345  2492 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  13  20   1.7e-34     1e-30  103.7   0.9  1635  1711  2541  2617  2536  2626 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  14  20  5.2e-109  3.2e-105  351.0   9.2  1719  2021  2665  3043  2653  3045 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  15  20  2.6e-159  1.6e-155  517.9  12.9  2021  2312  3075  3382  3060  3408 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  16  20   1.2e-47   7.6e-44  147.3   0.3  2326  2418  3462  3555  3455  3573 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  17  20   1.9e-49   1.2e-45  153.3   2.3  2423  2517  3638  3738  3635  3744 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  18  20   2.1e-21   1.3e-17   60.3   0.7  2516  2580  3781  3864  3776  3869 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  19  20   1.6e-36   9.9e-33  110.4   0.0  2585  2704  4052  4220  4046  4226 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66001.1           -           4444 83at5820             -           2879         0 3744.3 207.1  20  20   4.2e-88   2.5e-84  281.6  17.4  2704  2878  4257  4443  4254  4444 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/83at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/83at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/83at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:05:31 2026
# [ok]
