#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   1  16   1.1e-58     7e-55  184.6   5.6     1   126     1   133     1   138 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   2  16   1.2e-51   7.2e-48  161.3  12.9   123   234   194   305   178   331 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   3  16   1.3e-50   7.7e-47  157.9   2.5   236   339   357   461   344   507 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   4  16   1.9e-07    0.0012   14.8   0.0   350   377   537   564   518   572 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   5  16   1.5e-41   9.3e-38  127.8   9.5   376   489   609   759   605   762 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   6  16   5.5e-69   3.4e-65  218.8  10.1   490   649   794   987   780   995 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   7  16   6.4e-39   3.9e-35  119.1   0.6   647   728  1023  1105  1017  1111 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   8  16     3e-69   1.8e-65  219.6   0.4   719   860  1187  1335  1182  1345 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1   9  16   4.4e-11   2.7e-07   26.8   0.3   856   890  1358  1392  1340  1397 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1  10  16   4.4e-27   2.7e-23   79.9   0.5   907   969  1483  1545  1464  1552 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1  11  16   3.3e-39     2e-35  120.1   4.8   976  1046  1642  1712  1626  1722 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1  12  16   1.7e-13   1.1e-09   34.8   0.1  1045  1083  1798  1836  1789  1839 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1  13  16   3.5e-53   2.2e-49  166.4   2.9  1076  1183  1903  2010  1898  2013 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1  14  16   0.00082         5    2.7   0.0  1177  1195  2042  2060  2035  2062 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1  15  16  5.3e-113  3.2e-109  364.7  28.1  1196  1417  2122  2375  2115  2381 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68438.1           -           2712 382at5820            -           1675         0 2403.2 193.1  16  16  1.3e-143  7.7e-140  466.2  19.8  1412  1675  2418  2685  2412  2685 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/382at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/382at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/382at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:54 2026
# [ok]
