#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67686.1           -           1380 2856at5820           -            701         0 1048.3 129.7   1   7     0.038   1.1e+02   -0.6   3.9     2    24     7    29     5    40 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67686.1           -           1380 2856at5820           -            701         0 1048.3 129.7   2   7   1.7e-11   5.3e-08   30.2   1.7    18    75   146   216   118   244 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67686.1           -           1380 2856at5820           -            701         0 1048.3 129.7   3   7   4.3e-31   1.3e-27   95.0   7.1    71   146   288   373   275   378 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67686.1           -           1380 2856at5820           -            701         0 1048.3 129.7   4   7   1.7e-62     5e-59  198.9   9.0   143   252   436   546   420   549 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67686.1           -           1380 2856at5820           -            701         0 1048.3 129.7   5   7   2.6e-26   7.9e-23   79.2   0.0   251   299   580   628   572   632 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67686.1           -           1380 2856at5820           -            701         0 1048.3 129.7   6   7   1.9e-80   5.8e-77  258.2  28.5   300   449   738   892   730   907 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67686.1           -           1380 2856at5820           -            701         0 1048.3 129.7   7   7  5.6e-129  1.7e-125  418.6  37.6   445   701  1122  1380  1116  1380 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65414.1           -            866 2856at5820           -            701      0.54    7.1  21.9   1   3      0.27   8.3e+02   -3.5   0.9   421   433   333   345   321   364 0.51 ubiquitin C-terminal hydrolase, putative [Plasmodium vivax]
SCO65414.1           -            866 2856at5820           -            701      0.54    7.1  21.9   2   3   0.00052       1.6    5.5   2.2   380   433   584   637   582   651 0.77 ubiquitin C-terminal hydrolase, putative [Plasmodium vivax]
SCO65414.1           -            866 2856at5820           -            701      0.54    7.1  21.9   3   3   2.1e-06    0.0064   13.4   4.4   541   665   736   858   728   860 0.92 ubiquitin C-terminal hydrolase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2856at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2856at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2856at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:46:14 2026
# [ok]
