#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67189.1           -            335 8091at5820           -            238  1.4e-169  560.0  12.3   1   1  1.7e-171  1.8e-169  559.6  12.3     1   238    96   333    96   333 1.00 casein kinase 2, alpha subunit, putative [Plasmodium vivax]
SCO68053.1           -            288 8091at5820           -            238   1.9e-34  117.7   0.0   1   1   2.1e-36   2.3e-34  117.4   0.0     2   235    61   286    60   288 0.89 protein kinase 5 [Plasmodium vivax]
SCO66997.1           -            488 8091at5820           -            238   8.7e-32  109.0   0.1   1   1   3.7e-33   3.9e-31  106.8   0.1    42   238   217   404   186   404 0.89 glycogen synthase kinase 3, putative [Plasmodium vivax]
SCO68555.1           -            305 8091at5820           -            238   2.3e-30  104.3   0.9   1   2   1.7e-22   1.8e-20   71.9   0.1    20   160    97   234    91   240 0.89 CDK-related protein kinase 6, putative [Plasmodium vivax]
SCO68555.1           -            305 8091at5820           -            238   2.3e-30  104.3   0.9   2   2   5.8e-10   6.2e-08   30.9   0.1   188   236   247   296   237   298 0.84 CDK-related protein kinase 6, putative [Plasmodium vivax]
SCO69291.1           -            718 8091at5820           -            238     9e-30  102.4   1.5   1   1   1.2e-31   1.3e-29  101.8   1.5     2   235    79   311    78   314 0.83 mitogen-activated protein kinase 1, putative [Plasmodium vivax]
SCO65999.1           -            627 8091at5820           -            238   1.5e-29  101.6   3.6   1   1     2e-31   2.1e-29  101.2   3.6     3   235   343   586   341   589 0.80 cdc2-related protein kinase 1, putative [Plasmodium vivax]
SCO65947.1           -           1626 8091at5820           -            238   7.1e-25   86.3   0.0   1   1   1.1e-26   1.1e-24   85.7   0.0    37   234   886  1090   880  1092 0.83 CDK-related kinase 3, putative [Plasmodium vivax]
SCO65860.1           -            800 8091at5820           -            238   9.4e-25   85.9   6.3   1   2   1.4e-07   1.4e-05   23.1   0.4    37    75   232   270   216   276 0.85 protein kinase 1, putative [Plasmodium vivax]
SCO65860.1           -            800 8091at5820           -            238   9.4e-25   85.9   6.3   2   2   3.6e-20   3.9e-18   64.3   0.3    76   237   569   721   552   722 0.84 protein kinase 1, putative [Plasmodium vivax]
SCO68907.1           -            861 8091at5820           -            238   1.4e-20   72.2   0.8   1   2   1.4e-21   1.5e-19   68.9   0.7    16   148   552   685   539   702 0.85 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO68907.1           -            861 8091at5820           -            238   1.4e-20   72.2   0.8   2   2       0.9        96    0.8   0.0   208   235   709   736   702   739 0.90 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO68549.1           -            563 8091at5820           -            238   1.5e-20   72.2   5.3   1   2   2.2e-21   2.3e-19   68.3   4.0     1   156   176   331   176   339 0.84 calcium-dependent protein kinase 5, putative [Plasmodium vivax]
