#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67806.1           -           1461 1309at5820           -           1140         0 2013.4 133.3   1   4     1e-57   1.6e-54  183.5   2.6     1    90    54   143    54   145 0.98 chromosome condensation protein, putative [Plasmodium vivax]
SCO67806.1           -           1461 1309at5820           -           1140         0 2013.4 133.3   2   4  1.3e-288  1.9e-285  948.2  48.6    91   639   183   764   181   770 0.94 chromosome condensation protein, putative [Plasmodium vivax]
SCO67806.1           -           1461 1309at5820           -           1140         0 2013.4 133.3   3   4  4.2e-121  6.4e-118  393.4  46.6   642   902   815  1091   795  1095 0.94 chromosome condensation protein, putative [Plasmodium vivax]
SCO67806.1           -           1461 1309at5820           -           1140         0 2013.4 133.3   4   4  3.7e-155  5.6e-152  506.2  11.7   901  1140  1193  1430  1175  1430 0.94 chromosome condensation protein, putative [Plasmodium vivax]
SCO67405.1           -           1613 1309at5820           -           1140   9.4e-38  128.0  47.5   1   6   3.5e-22   5.3e-19   65.9  28.4     5   264   230   500   227   502 0.77 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1309at5820           -           1140   9.4e-38  128.0  47.5   2   6         4   6.1e+03  -15.0  37.8   711   995   426   715   418   716 0.65 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1309at5820           -           1140   9.4e-38  128.0  47.5   3   6         4   6.1e+03  -15.5  34.1   654   936   506   797   501   804 0.71 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1309at5820           -           1140   9.4e-38  128.0  47.5   4   6         4   6.1e+03   -9.7  21.4   374   548   676   864   636   874 0.64 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1309at5820           -           1140   9.4e-38  128.0  47.5   5   6         4   6.1e+03  -14.4  45.1   582   889   936  1251   928  1267 0.74 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1309at5820           -           1140   9.4e-38  128.0  47.5   6   6   8.2e-26   1.3e-22   77.9  11.0   922  1129  1378  1595  1365  1607 0.87 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO69771.1           -           1218 1309at5820           -           1140   5.2e-37  125.5 139.6   1   1   4.7e-40   7.2e-37  125.0 139.6     5  1121     3  1172     1  1185 0.71 structural maintenance of chromosome 2, putative [Plasmodium vivax]
SCO65934.1           -           1193 1309at5820           -           1140   6.6e-09   32.4   0.1   1   2         4   6.1e+03  -18.6 163.3     5   948     3   973     1   997 0.65 structural maintenance of chromosomes protein 3, putative [Plasmodium vivax]
SCO65934.1           -           1193 1309at5820           -           1140   6.6e-09   32.4   0.1   2   2   4.4e-12   6.6e-09   32.4   0.1  1042  1122  1079  1160  1064  1170 0.86 structural maintenance of chromosomes protein 3, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1309at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1309at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1309at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:31:21 2026
# [ok]
