#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69403.1           -            995 2959at5820           -            696         0 1094.9 109.9   1   6   4.8e-33   8.9e-31  105.5   0.1     3    71    45   114    43   124 0.92 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 2959at5820           -            696         0 1094.9 109.9   2   6   1.4e-06   0.00026   18.1   0.1    70   101   144   180   142   187 0.88 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 2959at5820           -            696         0 1094.9 109.9   3   6   4.8e-84   8.9e-82  274.1   8.6    86   264   221   406   212   410 0.92 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 2959at5820           -            696         0 1094.9 109.9   4   6  4.4e-126    8e-124  413.1  27.0   266   498   445   690   438   693 0.94 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 2959at5820           -            696         0 1094.9 109.9   5   6   2.7e-60     5e-58  195.6  10.9   498   615   749   866   746   877 0.94 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 2959at5820           -            696         0 1094.9 109.9   6   6   8.6e-34   1.6e-31  108.0  31.3   599   696   879   994   871   994 0.82 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO68088.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   1   5   9.3e-08   1.7e-05   22.0   0.1     5    67   145   208   142   213 0.89 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   2   5   4.3e-05    0.0079   13.2   0.2   102   129   216   242   205   247 0.71 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   3   5   3.8e-15     7e-13   46.4   4.9   170   323   258   410   254   415 0.82 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   4   5   9.1e-18   1.7e-15   55.0   0.1   366   466   417   516   410   535 0.88 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 2959at5820           -            696   1.3e-36  124.9  32.7   5   5   0.00088      0.16    8.8   0.5   517   575   532   590   519   598 0.83 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
