#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68180.1           -           1642 1628at5820           -           1124         0 1867.1 137.6   1   8   2.9e-28   2.6e-25   87.0  19.4     5   103    94   222    91   225 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 1628at5820           -           1124         0 1867.1 137.6   2   8   2.8e-09   2.4e-06   24.2   0.1   102   130   256   284   252   289 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 1628at5820           -           1124         0 1867.1 137.6   3   8   7.6e-08   6.6e-05   19.4   0.0   127   182   308   390   303   409 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 1628at5820           -           1124         0 1867.1 137.6   4   8  5.6e-269  4.9e-266  884.2  52.5   175   631   448   913   413   916 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 1628at5820           -           1124         0 1867.1 137.6   5   8   7.8e-73   6.7e-70  234.6   4.7   632   762   958  1097   956  1101 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 1628at5820           -           1124         0 1867.1 137.6   6   8   1.4e-50   1.2e-47  161.0   0.3   762   847  1192  1277  1180  1279 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 1628at5820           -           1124         0 1867.1 137.6   7   8   7.2e-55   6.3e-52  175.1   8.3   840   958  1311  1434  1300  1445 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 1628at5820           -           1124         0 1867.1 137.6   8   8   2.9e-95   2.5e-92  308.9   9.4   954  1124  1460  1642  1454  1642 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 1628at5820           -           1124   3.1e-13   47.0  15.1   1   3   1.8e-10   1.6e-07   28.1   0.5   344   430   241   328   234   333 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 1628at5820           -           1124   3.1e-13   47.0  15.1   2   3   7.7e-08   6.7e-05   19.4   0.4   469   579   330   438   322   467 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 1628at5820           -           1124   3.1e-13   47.0  15.1   3   3     5e-05     0.043   10.1   4.8   455   551   427   522   427   555 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 1628at5820           -           1124     9e-09   32.2   0.7   1   3     1e-11     9e-09   32.2   0.7   362   503    63   213    54   216 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 1628at5820           -           1124     9e-09   32.2   0.7   2   3      0.12     1e+02   -1.1   0.1   252   314   379   443   372   452 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 1628at5820           -           1124     9e-09   32.2   0.7   3   3     0.029        25    0.9   0.5   448   490   538   580   523   614 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 1628at5820           -           1124    0.0022   14.4  43.2   1   2   0.00015      0.13    8.5   0.6   374   440   113   180    86   196 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 1628at5820           -           1124    0.0022   14.4  43.2   2   2     0.001      0.87    5.8  19.5   494   598   395   495   305   514 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66816.1           -            807 1628at5820           -           1124     0.006   12.9  59.6   1   2   3.9e-05     0.034   10.4  17.7   296   480   125   311   119   348 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66816.1           -            807 1628at5820           -           1124     0.006   12.9  59.6   2   2   0.00016      0.14    8.4  33.9   354   550   541   746   480   765 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66114.1           -            720 1628at5820           -           1124     0.026   10.8   4.1   1   2   0.00042      0.37    7.0   0.7   428   534   236   341   221   348 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66114.1           -            720 1628at5820           -           1124     0.026   10.8   4.1   2   2    0.0018       1.6    4.9   0.1   551   614   426   488   411   516 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65649.1           -           1172 1628at5820           -           1124     0.032   10.5   7.9   1   2   4.7e-06    0.0041   13.5   0.7   316   429   283   397   278   411 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65649.1           -           1172 1628at5820           -           1124     0.032   10.5   7.9   2   2     0.062        54   -0.2   1.4   237   327   612   703   584   715 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1628at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1628at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1628at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:01 2026
# [ok]
