#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67938.1           -            816 3562at5820           -            654         0 1071.5 107.3   1   3  5.2e-134  7.9e-131  436.0  39.7    13   260    51   312    38   317 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67938.1           -            816 3562at5820           -            654         0 1071.5 107.3   2   3   2.8e-89   4.2e-86  288.2   7.4   254   423   349   519   338   523 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67938.1           -            816 3562at5820           -            654         0 1071.5 107.3   3   3  1.1e-110  1.7e-107  358.9  44.2   421   654   563   816   561   816 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3562at5820           -            654    0.0017   15.3  25.1   1   2   5.9e-06    0.0089   12.9   5.1    91   210   228   345   218   364 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3562at5820           -            654    0.0017   15.3  25.1   2   2     0.001       1.5    5.5  16.8    33   244   315   530   314   551 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65359.1           -            991 3562at5820           -            654     0.037   10.9   0.1   1   2   5.7e-05     0.087    9.6   0.1   387   419   325   357   316   362 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65359.1           -            991 3562at5820           -            654     0.037   10.9   0.1   2   2      0.57   8.7e+02   -3.6   0.0   330   374   629   675   609   678 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66268.1           -            512 3562at5820           -            654      0.15    8.9  23.4   1   2   0.00011      0.17    8.6  16.5    19   213    43   242    31   294 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66268.1           -            512 3562at5820           -            654      0.15    8.9  23.4   2   2    0.0028       4.2    4.1   0.6   178   208   333   363   293   382 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3562at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3562at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3562at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:32 2026
# [ok]
