#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67602.1           -            284 10406at5820          -            229    6e-140  462.8  25.6   1   1    1e-141  8.8e-139  458.9  25.6     1   229    27   282    27   282 0.96 RING zinc finger protein, putative [Plasmodium vivax]
SCO68321.1           -            403 10406at5820          -            229     0.002   16.1   0.5   1   2      0.25   2.2e+02   -0.4   0.5   142   184   154   191    93   225 0.58 RING zinc finger protein, putative [Plasmodium vivax]
SCO68321.1           -            403 10406at5820          -            229     0.002   16.1   0.5   2   2   2.3e-06     0.002   16.1   0.5   195   227   360   392   331   394 0.70 RING zinc finger protein, putative [Plasmodium vivax]
SCO66975.1           -           1201 10406at5820          -            229    0.0043   15.0   1.9   1   1   9.6e-06    0.0083   14.1   1.9   188   226  1159  1197  1136  1200 0.76 zinc finger protein, putative [Plasmodium vivax]
SCO66931.1           -            108 10406at5820          -            229    0.0074   14.3   3.8   1   1   1.6e-05     0.014   13.4   3.8   185   222    61    96    16   100 0.77 E3 ubiquitin-protein ligase RBX1, putative [Plasmodium vivax]
SCO68152.1           -             89 10406at5820          -            229      0.03   12.3   5.4   1   1   1.7e-05     0.015   13.3   3.6   197   226    50    80    30    82 0.83 anaphase-promoting complex subunit 11, putative [Plasmodium vivax]
SCO68586.1           -            456 10406at5820          -            229      0.29    9.1   5.2   1   1   0.00066      0.58    8.1   5.2   199   226    20    49     4    52 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65032.1           -            917 10406at5820          -            229      0.48    8.4   6.8   1   3     0.022        19    3.1   1.1   136   192   414   471   409   494 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65032.1           -            917 10406at5820          -            229      0.48    8.4   6.8   2   3      0.21   1.9e+02   -0.1   0.1    89   122   750   783   741   804 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65032.1           -            917 10406at5820          -            229      0.48    8.4   6.8   3   3    0.0019       1.7    6.6   0.0   138   168   842   872   827   902 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10406at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10406at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10406at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:29:05 2026
# [ok]
