#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69220.1           -            381 10051at5820          -            291   1.6e-26   91.9   9.4   1   5   2.5e-07   0.00025   19.0   0.1    33    89    11    69     3    80 0.83 polyubiquitin 5, putative [Plasmodium vivax]
SCO69220.1           -            381 10051at5820          -            291   1.6e-26   91.9   9.4   2   5     3e-07    0.0003   18.8   0.1    33    89    87   145    77   151 0.82 polyubiquitin 5, putative [Plasmodium vivax]
SCO69220.1           -            381 10051at5820          -            291   1.6e-26   91.9   9.4   3   5   2.7e-07   0.00027   18.9   0.1    33    89   163   221   153   235 0.83 polyubiquitin 5, putative [Plasmodium vivax]
SCO69220.1           -            381 10051at5820          -            291   1.6e-26   91.9   9.4   4   5   2.8e-07   0.00028   18.9   0.1    33    89   239   297   229   308 0.83 polyubiquitin 5, putative [Plasmodium vivax]
SCO69220.1           -            381 10051at5820          -            291   1.6e-26   91.9   9.4   5   5     3e-07   0.00031   18.7   0.1    33    89   315   373   304   378 0.82 polyubiquitin 5, putative [Plasmodium vivax]
SCO67964.1           -            128 10051at5820          -            291   1.7e-07   29.5   0.0   1   1   1.9e-10   1.9e-07   29.3   0.0    33   101    11    82     3   102 0.78 ubiquitin-60S ribosomal protein L40, putative [Plasmodium vivax]
SCO69564.1           -            149 10051at5820          -            291   2.2e-05   22.5   2.1   1   1   3.6e-08   3.7e-05   21.8   2.0    40    79    18    57     6   109 0.78 ubiquitin-40S ribosomal protein S27a, putative [Plasmodium vivax]
SCO69717.1           -             76 10051at5820          -            291    0.0033   15.4   0.1   1   1   3.2e-06    0.0033   15.4   0.1    38    88    16    68     6    74 0.81 ubiquitin-like protein nedd8 homologue, putative [Plasmodium vivax]
SCO67234.1           -            394 10051at5820          -            291      0.01   13.7   0.0   1   1   1.6e-05     0.016   13.1   0.0    33    75    13    55     7    76 0.84 ubiquitin domain-containing protein DSK2, putative [Plasmodium vivax]
SCO66834.1           -            406 10051at5820          -            291     0.023   12.6   1.2   1   1   3.5e-05     0.035   12.0   1.2    37    90    15    69     6    89 0.83 DNA repair protein RAD23, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10051at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10051at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:27:32 2026
# [ok]
