#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66491.1           -            238 12899at5820          -            214   1.2e-69  232.9  20.1   1   1   1.8e-72   2.7e-69  231.7  20.1    21   214    25   237    17   237 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65015.1           -            678 12899at5820          -            214   2.3e-05   22.8  10.6   1   4      0.85   1.3e+03   -2.6   0.7   129   158   186   215   176   225 0.46 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65015.1           -            678 12899at5820          -            214   2.3e-05   22.8  10.6   2   4      0.74   1.1e+03   -2.4   0.3   128   142   251   263   235   281 0.43 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65015.1           -            678 12899at5820          -            214   2.3e-05   22.8  10.6   3   4   1.5e-08   2.3e-05   22.8  10.6    83   174   304   397   300   410 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65015.1           -            678 12899at5820          -            214   2.3e-05   22.8  10.6   4   4         4   6.1e+03   -5.0   9.9    26   148   586   617   556   658 0.52 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66442.1           -            409 12899at5820          -            214     7e-05   21.2  12.7   1   4   4.6e-08     7e-05   21.2  12.7    80   135     2    53     1    68 0.71 zinc finger protein, putative [Plasmodium vivax]
SCO66442.1           -            409 12899at5820          -            214     7e-05   21.2  12.7   2   4       2.4   3.7e+03   -4.1   0.3   143   150    86    93    79   117 0.51 zinc finger protein, putative [Plasmodium vivax]
SCO66442.1           -            409 12899at5820          -            214     7e-05   21.2  12.7   3   4      0.94   1.4e+03   -2.7   0.2   111   141   139   167   132   192 0.57 zinc finger protein, putative [Plasmodium vivax]
SCO66442.1           -            409 12899at5820          -            214     7e-05   21.2  12.7   4   4      0.28   4.3e+02   -1.0   2.9   180   198   350   368   313   382 0.71 zinc finger protein, putative [Plasmodium vivax]
SCO69430.1           -            162 12899at5820          -            214       1.7    6.9  31.6   1   2       1.4   2.1e+03   -3.3  11.3    22    55    20    52     3    97 0.43 zinc finger protein, putative [Plasmodium vivax]
SCO69430.1           -            162 12899at5820          -            214       1.7    6.9  31.6   2   2   7.3e-05      0.11   10.7  20.3    47   120    71   157    44   161 0.58 zinc finger protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12899at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12899at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12899at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:48 2026
# [ok]
