#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   1  12   4.7e-23   2.9e-19   67.2   0.1     1    69     1    79     1   125 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   2  12   6.5e-10   3.9e-06   23.7   0.6    77   128   162   219   141   227 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   3  12   6.4e-33   3.9e-29   99.9   5.5   159   256   342   447   314   457 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   4  12   6.6e-10     4e-06   23.7   0.0   260   289   481   510   472   520 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   5  12    0.0096        58   -0.0   0.0   309   335   701   727   685   732 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   6  12   1.4e-49   8.5e-46  155.0   0.0   330   437   772   882   763   884 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   7  12  5.6e-136  3.4e-132  441.0  26.9   454   699   979  1225   939  1232 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   8  12   2.7e-21   1.6e-17   61.4   0.0   698   749  1270  1322  1265  1329 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2   9  12   3.8e-83   2.3e-79  266.1   1.0   746   945  1346  1591  1342  1597 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2  10  12   5.7e-11   3.4e-07   27.2   0.0   944   978  1707  1741  1700  1749 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2  11  12   5.8e-09   3.5e-05   20.5   0.0   974  1006  1761  1793  1756  1797 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68658.1           -           1855 1462at5820           -           1037         0 1195.0  82.2  12  12   5.4e-13   3.3e-09   33.9   3.2  1003  1037  1821  1855  1817  1855 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1462at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1462at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1462at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:49 2026
# [ok]
