#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70191.1           -           1282 3678at5820           -            717         0 1104.6  84.8   1   8    5e-105    1e-101  339.7  15.6     5   196    60   264    57   274 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70191.1           -           1282 3678at5820           -            717         0 1104.6  84.8   2   8   7.5e-82   1.5e-78  263.1   4.4   192   339   299   457   294   460 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70191.1           -           1282 3678at5820           -            717         0 1104.6  84.8   3   8     0.032        64   -0.1   0.0   319   347   545   573   537   581 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70191.1           -           1282 3678at5820           -            717         0 1104.6  84.8   4   8      0.48   9.7e+02   -4.0   0.4   348   362   649   663   628   673 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70191.1           -           1282 3678at5820           -            717         0 1104.6  84.8   5   8   1.1e-05     0.023   11.3   0.0   354   384   703   734   692   756 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70191.1           -           1282 3678at5820           -            717         0 1104.6  84.8   6   8   5.6e-18   1.1e-14   52.0   0.1   383   422   784   823   778   842 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70191.1           -           1282 3678at5820           -            717         0 1104.6  84.8   7   8     9e-97   1.8e-93  312.5  17.5   415   592   915  1093   909  1097 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70191.1           -           1282 3678at5820           -            717         0 1104.6  84.8   8   8   9.2e-49   1.9e-45  153.8   7.9   577   717  1123  1282  1116  1282 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66182.1           -            181 3678at5820           -            717     1e-07   29.0   0.8   1   1   6.7e-11   1.4e-07   28.6   0.8    86   159    78   153    65   160 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 3678at5820           -            717     0.011   12.3   0.0   1   1   1.1e-05     0.023   11.3   0.0    76   147   179   250   119   256 0.85 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3678at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3678at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3678at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:14 2026
# [ok]
