#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66182.1           -            181 13164at5820          -            130   4.1e-74  245.5   3.0   1   1   1.5e-76   5.4e-74  245.1   3.0     8   130    57   181    53   181 0.97 RNA-binding protein, putative [Plasmodium vivax]
SCO70191.1           -           1282 13164at5820          -            130   1.1e-08   33.9   1.8   1   2   3.1e-11   1.1e-08   33.9   1.8    31   102   156   227   148   236 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70191.1           -           1282 13164at5820          -            130   1.1e-08   33.9   1.8   2   2       3.7   1.3e+03   -1.9   0.1    53    53   970   970   942  1017 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69932.1           -           1122 13164at5820          -            130   1.3e-07   30.4   4.9   1   5       2.6   9.1e+02   -1.4   1.4    23    68    35    87    28   125 0.56 RNA-binding protein, putative [Plasmodium vivax]
SCO69932.1           -           1122 13164at5820          -            130   1.3e-07   30.4   4.9   2   5      0.23        83    2.0   0.2     1    61   551   610   551   635 0.90 RNA-binding protein, putative [Plasmodium vivax]
SCO69932.1           -           1122 13164at5820          -            130   1.3e-07   30.4   4.9   3   5         4   1.4e+03   -2.1   0.0    35    54   720   740   703   781 0.55 RNA-binding protein, putative [Plasmodium vivax]
SCO69932.1           -           1122 13164at5820          -            130   1.3e-07   30.4   4.9   4   5     0.017       6.1    5.6   0.1    10    51   848   888   843   952 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO69932.1           -           1122 13164at5820          -            130   1.3e-07   30.4   4.9   5   5   3.7e-10   1.3e-07   30.4   4.9     5   111   959  1066   955  1074 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13164at5820          -            130   1.7e-07   30.1   4.5   1   4     0.051        18    4.1   0.0    55    93    43    82    14    89 0.75 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13164at5820          -            130   1.7e-07   30.1   4.5   2   4     0.044        16    4.3   0.1    66    94   142   170   116   182 0.78 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13164at5820          -            130   1.7e-07   30.1   4.5   3   4   0.00017     0.062   12.1   0.3    24    95   190   258   172   263 0.81 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 13164at5820          -            130   1.7e-07   30.1   4.5   4   4    0.0033       1.2    7.9   0.1    21    94   443   515   428   524 0.78 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 13164at5820          -            130   2.1e-06   26.5   0.1   1   3   7.5e-05     0.027   13.2   0.0    34    91    95   152    86   159 0.90 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 13164at5820          -            130   2.1e-06   26.5   0.1   2   3    0.0017       0.6    8.9   0.0    21    91   181   251   170   263 0.83 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 13164at5820          -            130   2.1e-06   26.5   0.1   3   3       1.1   3.8e+02   -0.2   0.0    67    92   412   437   389   466 0.81 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO70005.1           -            110 13164at5820          -            130   1.4e-05   23.9   0.1   1   1   4.5e-08   1.6e-05   23.7   0.1    29   105    16    90     4   104 0.86 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO65839.1           -            292 13164at5820          -            130   2.4e-05   23.1   0.0   1   2   4.2e-05     0.015   14.1   0.0    27    93     7    72     2    98 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 13164at5820          -            130   2.4e-05   23.1   0.0   2   2    0.0064       2.3    7.0   0.0    34   100   162   227   156   239 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO68021.1           -            181 13164at5820          -            130   0.00032   19.5   0.6   1   1   1.4e-06   0.00051   18.8   0.3    33   100    56   123    43   149 0.87 RNA-binding protein, putative [Plasmodium vivax]
SCO66561.1           -            202 13164at5820          -            130    0.0004   19.1   0.0   1   2       4.5   1.6e+03   -2.2   0.0    33    51    18    36     5    47 0.69 RNA-binding protein, putative [Plasmodium vivax]
SCO66561.1           -            202 13164at5820          -            130    0.0004   19.1   0.0   2   2   2.7e-06   0.00097   17.9   0.0    15   100    59   143    48   149 0.88 RNA-binding protein, putative [Plasmodium vivax]
