#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68310.1           -           1215 3276at5820           -            743  4.8e-295  979.1  51.4   1   8   3.6e-35   2.7e-32  110.3   0.5     1    74    71   144    71   150 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3276at5820           -            743  4.8e-295  979.1  51.4   2   8   2.2e-29   1.7e-26   91.2   0.0    71   135   182   246   175   252 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3276at5820           -            743  4.8e-295  979.1  51.4   3   8   1.5e-08   1.1e-05   22.3   0.0   134   164   268   298   264   306 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3276at5820           -            743  4.8e-295  979.1  51.4   4   8   1.3e-87     1e-84  283.7  13.6   164   332   339   508   336   511 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3276at5820           -            743  4.8e-295  979.1  51.4   5   8   8.9e-46   6.7e-43  145.4   1.6   332   433   544   656   540   660 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3276at5820           -            743  4.8e-295  979.1  51.4   6   8   1.1e-56   8.2e-54  181.5   3.0   446   574   735   883   730   887 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3276at5820           -            743  4.8e-295  979.1  51.4   7   8   2.2e-41   1.7e-38  130.9   2.1   580   706   935  1101   929  1106 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 3276at5820           -            743  4.8e-295  979.1  51.4   8   8   1.3e-09   9.5e-07   25.9   0.0   706   742  1161  1204  1158  1205 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3276at5820           -            743   9.1e-13   45.8  46.7   1   4   9.9e-07   0.00075   16.3   5.3   173   269   113   205   101   218 0.53 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3276at5820           -            743   9.1e-13   45.8  46.7   2   4     0.002       1.5    5.4   0.2   455   496   191   232   185   232 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3276at5820           -            743   9.1e-13   45.8  46.7   3   4   1.1e-06   0.00085   16.1  13.2   336   480   224   375   219   384 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 3276at5820           -            743   9.1e-13   45.8  46.7   4   4   1.1e-08   8.3e-06   22.8  13.2   166   279   379   489   370   506 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3276at5820           -            743     2e-12   44.6  20.9   1   2   1.4e-07   0.00011   19.1   0.2    20   110   146   227   137   234 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 3276at5820           -            743     2e-12   44.6  20.9   2   2   3.9e-06     0.003   14.3  12.4   166   398   300   520   296   547 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69239.1           -            861 3276at5820           -            743   2.9e-07   27.6   5.9   1   5      0.68   5.1e+02   -3.0   0.1   449   480   200   231   198   246 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69239.1           -            861 3276at5820           -            743   2.9e-07   27.6   5.9   2   5     0.021        16    2.0   2.7   334   392   277   340   268   359 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69239.1           -            861 3276at5820           -            743   2.9e-07   27.6   5.9   3   5      0.76   5.8e+02   -3.1   4.1    59   120   572   635   521   656 0.50 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69239.1           -            861 3276at5820           -            743   2.9e-07   27.6   5.9   4   5       0.3   2.3e+02   -1.8   5.1   313   388   643   720   638   742 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69239.1           -            861 3276at5820           -            743   2.9e-07   27.6   5.9   5   5   3.9e-10   2.9e-07   27.6   5.9   342   409   778   845   756   851 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 3276at5820           -            743   0.00018   18.4   2.5   1   4   2.4e-07   0.00018   18.4   2.5   331   408    70   148    60   190 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 3276at5820           -            743   0.00018   18.4   2.5   2   4     0.012         9    2.8   0.1   166   193   386   413   379   434 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 3276at5820           -            743   0.00018   18.4   2.5   3   4     0.073        55    0.2   0.0   452   500   432   480   417   488 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 3276at5820           -            743   0.00018   18.4   2.5   4   4     0.011       8.5    2.9   3.9   441   530   526   616   523   633 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
