#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   1  11  2.3e-224  1.4e-220  733.7  38.4     2   449    18   499    17   532 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   2  11     0.016     1e+02   -2.6   0.0   453   477   551   578   535   595 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   3  11         0         0 1538.5 122.8   443  1484   845  2022   838  2027 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   4  11   2.8e-48   1.7e-44  149.3  18.9  1487  1631  2081  2238  2034  2243 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   5  11         0         0 1385.3 118.6  1627  2488  2262  3219  2256  3229 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   6  11   2.8e-51   1.7e-47  159.2  11.6  2481  2625  3414  3591  3373  3620 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   7  11   5.7e-60   3.5e-56  188.1  18.9  2609  2768  3696  3860  3685  3863 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   8  11   6.4e-11   3.9e-07   25.3   0.1  2766  2809  3925  3980  3920  3984 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4   9  11  1.6e-307  9.6e-304 1009.7  68.3  2807  3332  4056  4595  4044  4604 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4  10  11  2.1e-169  1.3e-165  551.3  42.1  3342  3650  4736  5051  4731  5060 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67230.1           -           5594 56at5820             -           3908         0 6192.2 539.4  11  11  1.3e-155    8e-152  505.5  29.7  3623  3908  5309  5592  5285  5592 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/56at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/56at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/56at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:56:02 2026
# [ok]
