#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68096.1           -            674 5931at5820           -            453  5.6e-224  742.3  25.1   1   3  3.7e-149  5.7e-146  485.1   4.9     1   243     1   245     1   267 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68096.1           -            674 5931at5820           -            453  5.6e-224  742.3  25.1   2   3     2e-76   3.1e-73  245.4   6.3   249   415   373   556   365   581 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68096.1           -            674 5931at5820           -            453  5.6e-224  742.3  25.1   3   3   1.5e-08   2.2e-05   21.7   0.3   416   453   625   662   609   662 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67303.1           -            367 5931at5820           -            453   6.1e-07   26.8   1.6   1   1   5.7e-10   8.7e-07   26.3   1.6   102   209   120   222    83   241 0.79 alpha/beta hydrolase fold domain containing protein, putative [Plasmodium vivax]
SCO65195.1           -            591 5931at5820           -            453   1.3e-06   25.8   1.6   1   2   1.4e-09   2.1e-06   25.1   0.3   105   166    62   120    51   187 0.80 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO65195.1           -            591 5931at5820           -            453   1.3e-06   25.8   1.6   2   2      0.32   4.9e+02   -2.5   0.0   338   372   226   260   223   270 0.78 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO65268.1           -            891 5931at5820           -            453   5.5e-06   23.7   0.1   1   3   3.6e-09   5.5e-06   23.7   0.1   119   199    43   121    24   142 0.82 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO65268.1           -            891 5931at5820           -            453   5.5e-06   23.7   0.1   2   3      0.48   7.3e+02   -3.1   0.0   327   346   169   188   153   203 0.76 alpha/beta hydrolase, putative [Plasmodium vivax]
SCO65268.1           -            891 5931at5820           -            453   5.5e-06   23.7   0.1   3   3      0.28   4.2e+02   -2.3   0.2    12    47   813   849   805   857 0.72 alpha/beta hydrolase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5931at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5931at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5931at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:57:48 2026
# [ok]
