#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67816.1           -           1557 1444at5820           -           1093         0 1885.8  57.5   1   6   2.1e-47   1.4e-44  150.8   0.3     1   107    32   141    32   145 0.95 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 1444at5820           -           1093         0 1885.8  57.5   2   6  1.2e-198  8.2e-196  651.6  11.9   101   427   235   562   226   572 0.98 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 1444at5820           -           1093         0 1885.8  57.5   3   6  2.6e-182  1.7e-179  597.5  13.4   430   766   596   940   582   943 0.96 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 1444at5820           -           1093         0 1885.8  57.5   4   6   1.6e-15   1.1e-12   45.2   0.1   757   819   966  1037   959  1053 0.78 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 1444at5820           -           1093         0 1885.8  57.5   5   6   1.4e-76   9.4e-74  247.4   2.1   819   966  1167  1319  1123  1322 0.95 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 1444at5820           -           1093         0 1885.8  57.5   6   6     2e-66   1.4e-63  213.8   0.2   962  1087  1352  1477  1347  1481 0.98 SET domain protein, putative [Plasmodium vivax]
SCO69364.1           -            708 1444at5820           -           1093   7.8e-14   49.0   0.3   1   2   1.1e-09   7.3e-07   25.9   0.0   853   938   387   475   355   483 0.89 ankyrin, putative [Plasmodium vivax]
SCO69364.1           -            708 1444at5820           -           1093   7.8e-14   49.0   0.3   2   2   3.8e-08   2.6e-05   20.8   0.1   852   909   489   546   480   595 0.84 ankyrin, putative [Plasmodium vivax]
SCO66822.1           -            188 1444at5820           -           1093   8.8e-13   45.5   0.1   1   1   1.6e-15   1.1e-12   45.3   0.1   852   945    42   137    39   173 0.88 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO67251.1           -            791 1444at5820           -           1093   6.5e-12   42.7   4.4   1   2    0.0011      0.75    6.0   0.0    84   134   337   389   322   399 0.71 SET domain protein, putative [Plasmodium vivax]
SCO67251.1           -            791 1444at5820           -           1093   6.5e-12   42.7   4.4   2   2   4.3e-13   2.9e-10   37.2   1.2   317   413   505   599   482   677 0.90 SET domain protein, putative [Plasmodium vivax]
SCO66158.1           -           1903 1444at5820           -           1093   5.6e-09   32.9   2.0   1   2   1.1e-07   7.5e-05   19.3   0.1   852   908  1086  1142  1067  1154 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66158.1           -           1903 1444at5820           -           1093   5.6e-09   32.9   2.0   2   2   1.1e-05    0.0071   12.7   0.2   884   942  1161  1222  1146  1250 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67289.1           -            366 1444at5820           -           1093     6e-09   32.8   0.1   1   1   1.2e-11   8.4e-09   32.4   0.1   853   914   289   352   252   360 0.88 acyl-CoA-binding protein, putative [Plasmodium vivax]
SCO66275.1           -            482 1444at5820           -           1093   3.7e-08   30.2   0.0   1   2     1e-08   6.9e-06   22.7   0.0   847   943    90   188    65   191 0.88 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 1444at5820           -           1093   3.7e-08   30.2   0.0   2   2     6e-06     0.004   13.5   0.0   848   902   155   211   148   217 0.88 bromodomain protein 1, putative [Plasmodium vivax]
SCO65820.1           -            185 1444at5820           -           1093   2.2e-06   24.4   0.4   1   1   4.2e-09   2.9e-06   24.0   0.4   835   966    30   167     6   180 0.81 conserved protein, unknown function [Plasmodium vivax]
SCO66421.1           -           1080 1444at5820           -           1093     1e-05   22.1   3.8   1   1     3e-08     2e-05   21.2   3.8   312   412   570   667   548   670 0.85 SET domain protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1444at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1444at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1444at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:22 2026
# [ok]
