#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70205.1           -            309 10037at5820          -            262  5.3e-130  430.9  30.3   1   2   4.6e-14   3.5e-11   41.5   0.1     1    34     1    34     1    37 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70205.1           -            309 10037at5820          -            262  5.3e-130  430.9  30.3   2   2  1.1e-120  8.2e-118  391.0  26.6    33   255    54   288    45   305 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66822.1           -            188 10037at5820          -            262   4.7e-09   34.5   4.0   1   1   7.1e-12   5.4e-09   34.3   4.0    30   135    59   162    18   172 0.76 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 10037at5820          -            262     2e-05   22.6  10.3   1   5         8   6.1e+03  -10.9  13.8    61   172   133   246   123   261 0.56 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 10037at5820          -            262     2e-05   22.6  10.3   2   5       0.2   1.5e+02    0.1   0.5    87   128  1124  1169  1111  1203 0.74 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 10037at5820          -            262     2e-05   22.6  10.3   3   5    0.0035       2.7    5.8   5.8    50   181  1451  1588  1441  1605 0.78 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 10037at5820          -            262     2e-05   22.6  10.3   4   5   2.6e-08     2e-05   22.6  10.3    34   127  1606  1700  1590  1706 0.79 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 10037at5820          -            262     2e-05   22.6  10.3   5   5   3.4e-06    0.0026   15.7   1.9    78   166  1684  1778  1682  1792 0.68 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO67524.1           -            584 10037at5820          -            262   2.1e-05   22.6   6.8   1   2   2.7e-08   2.1e-05   22.6   6.8    20    99    39   115    25   168 0.77 methyltransferase, putative [Plasmodium vivax]
SCO67524.1           -            584 10037at5820          -            262   2.1e-05   22.6   6.8   2   2      0.49   3.8e+02   -1.2   0.1   210   240   217   247   204   262 0.51 methyltransferase, putative [Plasmodium vivax]
SCO69364.1           -            708 10037at5820          -            262   6.9e-05   20.8   0.1   1   1   1.6e-07   0.00012   20.0   0.1    48   141   420   515   386   605 0.76 ankyrin, putative [Plasmodium vivax]
SCO69726.1           -            400 10037at5820          -            262   0.00019   19.4  18.0   1   2   0.00032      0.24    9.2   2.3    71   141    28   101     5   108 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69726.1           -            400 10037at5820          -            262   0.00019   19.4  18.0   2   2   3.7e-06    0.0028   15.6   8.7    45   171   103   231    98   256 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66275.1           -            482 10037at5820          -            262    0.0031   15.4   5.3   1   4     0.033        25    2.6   0.8    83   132    11    63     3    69 0.61 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 10037at5820          -            262    0.0031   15.4   5.3   2   4   6.9e-05     0.053   11.4   0.0    60   134    72   148    67   162 0.86 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 10037at5820          -            262    0.0031   15.4   5.3   3   4     0.044        33    2.2   0.0    40    69   153   182   134   214 0.58 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 10037at5820          -            262    0.0031   15.4   5.3   4   4       0.7   5.3e+02   -1.7   0.2    58    73   384   399   328   446 0.60 bromodomain protein 1, putative [Plasmodium vivax]
SCO66158.1           -           1903 10037at5820          -            262     0.013   13.4   0.2   1   3   1.7e-05     0.013   13.4   0.2    91   179  1063  1150  1050  1152 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66158.1           -           1903 10037at5820          -            262     0.013   13.4   0.2   2   3    0.0017       1.3    6.8   2.2    42   127  1189  1275  1162  1288 0.73 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66158.1           -           1903 10037at5820          -            262     0.013   13.4   0.2   3   3         3   2.3e+03   -3.8   1.5    64   104  1396  1442  1347  1460 0.47 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10037at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10037at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10037at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:27:28 2026
# [ok]
