#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   1  11   3.3e-49   9.9e-46  155.0   2.1     2    91    64   155    63   156 0.95 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   2  11   2.8e-28   8.6e-25   85.8   1.0    71   146   232   307   223   318 0.87 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   3  11   2.5e-60   7.7e-57  191.7  11.1   145   308   372   553   359   577 0.82 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   4  11    0.0024       7.4    3.4   1.9   294   331   625   662   616   679 0.82 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   5  11    0.0008       2.4    5.0   0.0   319   356   756   794   732   797 0.81 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   6  11     2e-61   6.2e-58  195.3   8.2   351   472   977  1100   968  1103 0.95 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   7  11   2.6e-46   7.9e-43  145.4   0.4   470   553  1152  1235  1149  1249 0.89 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   8  11      0.01        31    1.3   0.0   539   560  1287  1308  1281  1323 0.77 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8   9  11   6.6e-22     2e-18   64.7   0.0   553   603  1385  1435  1371  1439 0.91 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8  10  11   4.1e-31   1.3e-27   95.2   0.1   603   652  1482  1531  1476  1538 0.95 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO65039.1           -           1625 2109at5820           -            700  1.3e-297  987.6  78.8  11  11   2.1e-26   6.3e-23   79.6   0.4   651   699  1563  1611  1557  1612 0.94 sentrin-specific protease 2, putative [Plasmodium vivax]
SCO70095.1           -           1035 2109at5820           -            700     0.039   10.9  27.0   1   3         2   6.1e+03   -6.4  14.8   273   391   733   854   730   864 0.51 sentrin-specific protease 1, putative [Plasmodium vivax]
SCO70095.1           -           1035 2109at5820           -            700     0.039   10.9  27.0   2   3   1.1e-06    0.0034   14.4   7.6   444   545   834   940   828   967 0.75 sentrin-specific protease 1, putative [Plasmodium vivax]
SCO70095.1           -           1035 2109at5820           -            700     0.039   10.9  27.0   3   3   0.00073       2.2    5.1   0.0   615   639   984  1008   980  1019 0.89 sentrin-specific protease 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2109at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2109at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2109at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:53 2026
# [ok]
