#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66805.1           -            242 8923at5820           -            276   3.6e-18   64.3   2.8   1   3   2.3e-12   4.8e-09   34.4   0.1    29   105    32   102    21   107 0.88 adenylate kinase, putative [Plasmodium vivax]
SCO66805.1           -            242 8923at5820           -            276   3.6e-18   64.3   2.8   2   3   4.7e-05     0.096   10.5   0.0   165   217   104   157    97   174 0.74 adenylate kinase, putative [Plasmodium vivax]
SCO66805.1           -            242 8923at5820           -            276   3.6e-18   64.3   2.8   3   3   5.9e-08   0.00012   20.0   0.2   220   268   187   235   169   240 0.87 adenylate kinase, putative [Plasmodium vivax]
SCO65913.1           -            259 8923at5820           -            276   1.4e-12   46.0   0.1   1   3   3.6e-13   7.3e-10   37.1   0.1    24   108     6    96     1   101 0.77 adenylate kinase 2, putative [Plasmodium vivax]
SCO65913.1           -            259 8923at5820           -            276   1.4e-12   46.0   0.1   2   3      0.06   1.2e+02    0.3   0.0   170   215   104   146    96   155 0.70 adenylate kinase 2, putative [Plasmodium vivax]
SCO65913.1           -            259 8923at5820           -            276   1.4e-12   46.0   0.1   3   3    0.0022       4.5    5.0   0.0   219   269   200   248   186   254 0.82 adenylate kinase 2, putative [Plasmodium vivax]
SCO65950.1           -            231 8923at5820           -            276   1.2e-09   36.4   3.5   1   3   4.9e-08   9.9e-05   20.3   0.1    20    73     1    52     1    82 0.73 GTP:AMP phosphotransferase, putative [Plasmodium vivax]
SCO65950.1           -            231 8923at5820           -            276   1.2e-09   36.4   3.5   2   3   1.4e-05     0.028   12.2   0.1   139   203    56   120    51   150 0.67 GTP:AMP phosphotransferase, putative [Plasmodium vivax]
SCO65950.1           -            231 8923at5820           -            276   1.2e-09   36.4   3.5   3   3    0.0019       3.9    5.2   0.2   211   254   165   207   162   221 0.83 GTP:AMP phosphotransferase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8923at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8923at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8923at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:07:56 2026
# [ok]
