#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69563.1           -            661 5150at5820           -            522    1e-302 1003.0  65.2   1   3   2.7e-22   1.1e-19   69.2   2.1     1    56     1    60     1    68 0.92 U2 snRNP-associated SURP motif-containing protein, putative [Plasmodium vivax]
SCO69563.1           -            661 5150at5820           -            522    1e-302 1003.0  65.2   2   3   2.7e-95   1.1e-92  310.1  15.3    28   206    73   252    64   260 0.92 U2 snRNP-associated SURP motif-containing protein, putative [Plasmodium vivax]
SCO69563.1           -            661 5150at5820           -            522    1e-302 1003.0  65.2   3   3  5.9e-194  2.4e-191  635.6  32.6   204   522   274   613   270   613 0.95 U2 snRNP-associated SURP motif-containing protein, putative [Plasmodium vivax]
SCO69999.1           -            883 5150at5820           -            522   3.3e-24   84.1   7.5   1   4     2e-09   8.2e-07   26.7   0.0   119   203    15    96    10   101 0.92 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 5150at5820           -            522   3.3e-24   84.1   7.5   2   4   1.9e-06   0.00076   16.9   0.6   115   198    99   178    96   187 0.89 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 5150at5820           -            522   3.3e-24   84.1   7.5   3   4   5.6e-07   0.00023   18.6   0.2   115   189   188   256   180   262 0.80 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 5150at5820           -            522   3.3e-24   84.1   7.5   4   4   1.6e-08   6.3e-06   23.7   0.1   104   198   433   523   421   531 0.85 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69394.1           -            475 5150at5820           -            522   2.2e-14   51.7   2.7   1   2   9.5e-09   3.9e-06   24.5   0.2   110   196    10    93     5   101 0.87 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69394.1           -            475 5150at5820           -            522   2.2e-14   51.7   2.7   2   2   1.1e-09   4.4e-07   27.6   0.2   119   199   106   182    96   191 0.87 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO66159.1           -           1579 5150at5820           -            522   1.9e-08   32.1   1.9   1   2     0.001      0.41    7.9   0.7   102   190   319   399   281   425 0.68 RNA-binding protein, putative [Plasmodium vivax]
SCO66159.1           -           1579 5150at5820           -            522   1.9e-08   32.1   1.9   2   2   2.6e-08   1.1e-05   23.0   0.0   120   197   439   517   424   524 0.92 RNA-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 5150at5820           -            522   3.1e-08   31.4   0.4   1   3    0.0088       3.6    4.8   0.2   121   185    89   150     8   159 0.84 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 5150at5820           -            522   3.1e-08   31.4   0.4   2   3   2.2e-06   0.00088   16.7   0.0   120   198   187   265   176   283 0.82 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 5150at5820           -            522   3.1e-08   31.4   0.4   3   3    0.0027       1.1    6.5   0.0   120   200   372   449   368   459 0.88 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO65839.1           -            292 5150at5820           -            522   9.5e-07   26.5   0.0   1   2    0.0039       1.6    6.0   0.0   120   191     7    74     3    82 0.83 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 5150at5820           -            522   9.5e-07   26.5   0.0   2   2   6.6e-07   0.00027   18.4   0.0   120   200   155   231   143   240 0.88 RNA-binding protein, putative [Plasmodium vivax]
SCO68235.1           -            153 5150at5820           -            522   1.7e-06   25.6   0.7   1   1     5e-09     2e-06   25.4   0.7    86   196    25   133     8   145 0.84 RNA and export factor binding protein, putative [Plasmodium vivax]
SCO66738.1           -            318 5150at5820           -            522   2.9e-06   24.8   0.0   1   1   1.4e-08   5.7e-06   23.9   0.0   116   200    82   163    76   169 0.86 RNA-binding protein, putative [Plasmodium vivax]
SCO69529.1           -            119 5150at5820           -            522   1.8e-05   22.3   3.0   1   1   7.4e-08     3e-05   21.5   3.0   122   206    37   118     1   119 0.76 RNA-binding protein, putative [Plasmodium vivax]
SCO69795.1           -            124 5150at5820           -            522   4.8e-05   20.8   0.7   1   1   1.4e-07   5.6e-05   20.6   0.7   120   202     8    87     2   111 0.84 RNA-binding protein, putative [Plasmodium vivax]
