#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO64886.1           -            107 14652at5820          -             79   6.6e-41  136.9   8.6   1   1   3.6e-43   1.4e-40  135.9   8.6    10    79    38   107    14   107 0.97 centrin, putative [Plasmodium vivax]
SCO68933.1           -            177 14652at5820          -             79   3.9e-10   38.3   9.2   1   2   9.6e-08   3.6e-05   22.3   0.6    10    76    20    86    14    89 0.87 calcineurin subunit B, putative [Plasmodium vivax]
SCO68933.1           -            177 14652at5820          -             79   3.9e-10   38.3   9.2   2   2   1.2e-06   0.00047   18.8   2.5    22    73   101   161    87   167 0.68 calcineurin subunit B, putative [Plasmodium vivax]
SCO65130.1           -            168 14652at5820          -             79   2.4e-09   35.7  13.9   1   2   1.5e-11   5.6e-09   34.5   0.9     9    73    18    86    12    94 0.90 centrin-1, putative [Plasmodium vivax]
SCO65130.1           -            168 14652at5820          -             79   2.4e-09   35.7  13.9   2   2     0.022       8.2    5.2   2.8    13    46   130   164   119   167 0.68 centrin-1, putative [Plasmodium vivax]
SCO69264.1           -            149 14652at5820          -             79   1.8e-08   32.9   9.5   1   2   6.2e-07   0.00024   19.7   0.1    10    75     3    72     1    76 0.87 calmodulin, putative [Plasmodium vivax]
SCO69264.1           -            149 14652at5820          -             79   1.8e-08   32.9   9.5   2   2   6.3e-05     0.024   13.3   5.1    11    73    76   143    69   146 0.76 calmodulin, putative [Plasmodium vivax]
SCO66216.1           -            179 14652at5820          -             79   1.5e-06   26.8  13.8   1   3   2.1e-08     8e-06   24.4   2.0     9    73    29    97    26   103 0.88 centrin-3, putative [Plasmodium vivax]
SCO66216.1           -            179 14652at5820          -             79   1.5e-06   26.8  13.8   2   3      0.14        55    2.5   0.1    51    71   112   132   107   139 0.87 centrin-3, putative [Plasmodium vivax]
SCO66216.1           -            179 14652at5820          -             79   1.5e-06   26.8  13.8   3   3     0.006       2.3    7.0   1.1    10    46   142   175   136   177 0.82 centrin-3, putative [Plasmodium vivax]
SCO67191.1           -            344 14652at5820          -             79   2.9e-06   25.9  17.3   1   5   0.00013     0.049   12.3   1.0    16    71    60   119    57   127 0.87 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
SCO67191.1           -            344 14652at5820          -             79   2.9e-06   25.9  17.3   2   5     0.057        22    3.8   0.2    19    72    99   160    98   167 0.63 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
SCO67191.1           -            344 14652at5820          -             79   2.9e-06   25.9  17.3   3   5     0.064        24    3.7   2.1    12    39   167   196   124   198 0.66 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
SCO67191.1           -            344 14652at5820          -             79   2.9e-06   25.9  17.3   4   5     0.025       9.7    5.0   1.2    12    41   167   198   163   214 0.72 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
SCO67191.1           -            344 14652at5820          -             79   2.9e-06   25.9  17.3   5   5   2.5e-06   0.00096   17.8   0.9    17    43   211   237   197   244 0.81 endoplasmic reticulum-resident calcium binding protein, putative [Plasmodium vivax]
