#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   1  12   3.1e-18   1.9e-14   51.0   3.3     1    63     1    68     1    72 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   2  12   1.2e-37   7.2e-34  115.2   0.1    58   151   109   202    98   211 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   3  12   2.5e-57   1.5e-53  180.4  12.6   137   249   233   346   213   356 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   4  12   4.2e-32   2.6e-28   96.9   0.3   249   334   412   518   405   521 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   5  12   3.3e-50     2e-46  156.8   3.4   341   460   596   719   576   739 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   6  12   2.1e-27   1.3e-23   81.3   7.7   453   536   778   860   747   865 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   7  12   8.3e-10     5e-06   23.1   0.1   533   576   940   991   935  1002 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   8  12   2.7e-74   1.7e-70  236.5  16.4   567   724  1220  1381  1210  1390 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5   9  12   4.7e-39   2.8e-35  119.9   0.2   727   825  1479  1579  1473  1587 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5  10  12   0.00023       1.4    5.0   0.0   829   853  1683  1707  1676  1711 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5  11  12   2.8e-42   1.7e-38  130.5  10.5   852   950  1743  1842  1741  1853 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66486.1           -           1953 2274at5820           -           1023         0 1253.2 123.5  12  12   3.7e-34   2.3e-30  103.6   3.1   952  1023  1870  1952  1854  1952 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2274at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2274at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2274at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:18 2026
# [ok]
