#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   1   9   1.3e-37     8e-34  115.8   1.6     1   115     1   156     1   160 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   2   9   1.8e-22   1.1e-18   65.9   0.1   110   178   177   246   174   249 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   3   9   3.1e-31   1.9e-27   94.8   0.1   179   259   272   356   270   362 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   4   9   3.9e-11   2.4e-07   28.5   0.0   259   308   385   442   382   448 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   5   9   8.2e-11     5e-07   27.5   0.0   305   347   462   510   457   515 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   6   9   1.3e-05     0.078   10.3   0.0   339   364   550   575   543   580 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   7   9   8.1e-09   4.9e-05   20.9   0.0   364   388   603   627   598   636 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   8   9   3.4e-15   2.1e-11   41.9   0.0   385   427   664   707   661   711 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66661.1           -            872 6632at5820           -            510  3.2e-147  489.9   1.0   9   9   6.9e-23   4.2e-19   67.3   0.0   425   509   769   870   764   871 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6632at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6632at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6632at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:51:20 2026
# [ok]
