#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69204.1           -           1010 5114at5820           -            599  5.5e-238  790.0  86.0   1   6  1.1e-131  6.8e-129  429.7  30.1     1   205     1   210     1   227 0.93 zinc finger protein, putative [Plasmodium vivax]
SCO69204.1           -           1010 5114at5820           -            599  5.5e-238  790.0  86.0   2   6   6.6e-28     4e-25   87.0   4.4   196   262   225   295   212   303 0.83 zinc finger protein, putative [Plasmodium vivax]
SCO69204.1           -           1010 5114at5820           -            599  5.5e-238  790.0  86.0   3   6   4.4e-41   2.7e-38  130.5   3.9   264   407   384   554   377   560 0.84 zinc finger protein, putative [Plasmodium vivax]
SCO69204.1           -           1010 5114at5820           -            599  5.5e-238  790.0  86.0   4   6   9.3e-05     0.057   10.6   0.1   420   451   614   645   563   656 0.64 zinc finger protein, putative [Plasmodium vivax]
SCO69204.1           -           1010 5114at5820           -            599  5.5e-238  790.0  86.0   5   6   9.7e-22   5.9e-19   66.6  10.3   455   554   811   932   777   940 0.84 zinc finger protein, putative [Plasmodium vivax]
SCO69204.1           -           1010 5114at5820           -            599  5.5e-238  790.0  86.0   6   6   3.3e-28     2e-25   88.0   5.7   534   599   945  1010   922  1010 0.84 zinc finger protein, putative [Plasmodium vivax]
SCO66799.1           -            510 5114at5820           -            599   3.6e-44  149.9  15.7   1   3     6e-47   3.6e-44  149.9  15.7    18   127    17   125     1   132 0.91 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO66799.1           -            510 5114at5820           -            599   3.6e-44  149.9  15.7   2   3      0.47   2.8e+02   -1.7   1.7   340   371   266   296   237   358 0.63 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO66799.1           -            510 5114at5820           -            599   3.6e-44  149.9  15.7   3   3      0.57   3.4e+02   -1.9   2.0   533   580   437   484   414   501 0.63 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO68036.1           -            965 5114at5820           -            599     2e-30  104.5   4.4   1   4   3.3e-33     2e-30  104.5   4.4    20   140     7   126     3   147 0.93 zinc finger protein, putative [Plasmodium vivax]
SCO68036.1           -            965 5114at5820           -            599     2e-30  104.5   4.4   2   4        10   6.1e+03  -10.8  20.1   412   514   237   343   172   378 0.55 zinc finger protein, putative [Plasmodium vivax]
