#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   1   9  2.9e-124  1.8e-120  402.0  35.7     8   227    28   249    22   257 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   2   9   1.5e-09   8.9e-06   22.3   0.7   224   248   284   308   282   312 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   3   9   2.1e-27   1.3e-23   81.3   4.0   242   298   323   379   321   397 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   4   9   1.6e-51   9.9e-48  161.2   5.1   295   393   419   519   414   548 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   5   9   1.5e-64   9.2e-61  204.3  13.2   390   552   611   802   608   808 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   6   9   4.1e-69   2.5e-65  219.4  15.3   555   694   838   981   824   984 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   7   9   0.00041       2.5    4.2   0.0   695   713  1013  1031  1006  1037 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   8   9   1.6e-83   9.6e-80  267.2  16.3   712   933  1075  1322  1056  1355 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67597.1           -           1546 1876at5820           -           1075         0 1509.4 162.4   9   9   1.1e-59   6.5e-56  188.3  16.9   944  1075  1388  1540  1380  1540 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1876at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1876at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1876at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:31 2026
# [ok]
