#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   1  11  3.7e-300  5.6e-297  987.3 131.5     2   950    16  1285    15  1325 0.82 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   2  11  2.5e-220  3.8e-217  722.3  45.7   946  1498  1361  1982  1352  1994 0.89 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   3  11    2e-113  3.1e-110  367.4  36.8  1455  1808  2170  2582  2149  2596 0.86 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   4  11   2.7e-06    0.0042   11.9   2.1  1799  1849  2717  2768  2702  2795 0.75 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   5  11  2.8e-268  4.3e-265  881.4  56.4  1839  2336  2827  3347  2822  3354 0.96 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   6  11  1.9e-112  2.8e-109  364.3  13.3  2342  2542  3396  3596  3392  3601 0.98 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   7  11         0         0 1155.2  65.1  2524  3128  3644  4273  3638  4316 0.94 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   8  11  2.7e-134  4.1e-131  436.7  24.0  3128  3361  4346  4582  4332  4588 0.97 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1   9  11  7.7e-252  1.2e-248  826.9  54.0  3369  3849  4688  5216  4674  5227 0.91 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1  10  11     4e-17   6.1e-14   47.8   1.2  3847  3892  5242  5287  5238  5294 0.92 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69082.1           -           5543 39at5820             -           4063         0 6020.4 536.1  11  11   1.2e-85   1.8e-82  275.3  27.2  3879  4063  5342  5537  5327  5537 0.90 cysteine repeat modular protein 4, putative [Plasmodium vivax]
SCO69183.1           -           3294 39at5820             -           4063  1.3e-168  561.2 231.3   1   7   6.1e-44   9.3e-41  136.8  40.7  1535  2245   244   974   239   984 0.72 cysteine repeat modular protein 3, putative [Plasmodium vivax]
SCO69183.1           -           3294 39at5820             -           4063  1.3e-168  561.2 231.3   2   7   1.8e-05     0.028    9.1   6.2  2152  2198   989  1035   980  1040 0.92 cysteine repeat modular protein 3, putative [Plasmodium vivax]
