#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   1   9     0.034     2e+02   -1.9   0.5     1    17     1    17     1    23 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   2   9   1.9e-13   1.2e-09   35.3   0.1    11    51    43    83    35    97 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   3   9   1.1e-45   6.6e-42  142.0   1.8    46   143   107   213   101   232 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   4   9  3.6e-182  2.2e-178  593.6  27.1   152   443   371   684   363   685 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   5   9   1.3e-16   7.9e-13   45.8   0.1   447   492   740   785   730   793 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   6   9   1.3e-30   7.8e-27   92.1   1.3   492   573   835   917   831   920 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   7   9   1.5e-36   9.3e-33  111.7   1.4   574   647  1022  1095  1020  1099 0.98 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   8   9   3.7e-23   2.3e-19   67.4   0.1   659   726  1407  1485  1399  1491 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65568.1           -           2072 2029at5820           -            894         0 1291.1  78.7   9   9   1.5e-72   9.3e-69  230.9   1.0   734   890  1601  1759  1589  1761 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2029at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2029at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2029at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:32 2026
# [ok]
