#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67009.1           -           1298 2069at5820           -            719  3.7e-276  916.8   4.7   1   7     2e-99     4e-96  321.7   0.0    21   215   219   419   213   435 0.95 valine--tRNA ligase, putative [Plasmodium vivax]
SCO67009.1           -           1298 2069at5820           -            719  3.7e-276  916.8   4.7   2   7   1.1e-19   2.3e-16   58.0   0.0   228   280   507   560   496   574 0.93 valine--tRNA ligase, putative [Plasmodium vivax]
SCO67009.1           -           1298 2069at5820           -            719  3.7e-276  916.8   4.7   3   7       0.1   2.1e+02   -1.3   0.0   278   294   583   599   578   603 0.79 valine--tRNA ligase, putative [Plasmodium vivax]
SCO67009.1           -           1298 2069at5820           -            719  3.7e-276  916.8   4.7   4   7   7.6e-30   1.5e-26   91.7   0.0   293   367   658   742   652   745 0.87 valine--tRNA ligase, putative [Plasmodium vivax]
SCO67009.1           -           1298 2069at5820           -            719  3.7e-276  916.8   4.7   5   7   5.6e-49   1.1e-45  154.9   0.1   368   466   780   879   776   882 0.97 valine--tRNA ligase, putative [Plasmodium vivax]
SCO67009.1           -           1298 2069at5820           -            719  3.7e-276  916.8   4.7   6   7   2.2e-61   4.6e-58  195.9   0.8   466   610   917  1084   915  1088 0.86 valine--tRNA ligase, putative [Plasmodium vivax]
SCO67009.1           -           1298 2069at5820           -            719  3.7e-276  916.8   4.7   7   7   4.5e-27   9.1e-24   82.5   0.0   612   713  1117  1256  1114  1259 0.79 valine--tRNA ligase, putative [Plasmodium vivax]
SCO68829.1           -           1071 2069at5820           -            719   4.4e-40  136.4  14.4   1   4   2.1e-22   4.2e-19   67.1   2.9    13   218    16   237     7   264 0.81 valine--tRNA ligase, putative [Plasmodium vivax]
SCO68829.1           -           1071 2069at5820           -            719   4.4e-40  136.4  14.4   2   4   1.8e-09   3.6e-06   24.3   0.1   308   366   412   477   404   493 0.80 valine--tRNA ligase, putative [Plasmodium vivax]
SCO68829.1           -           1071 2069at5820           -            719   4.4e-40  136.4  14.4   3   4   6.9e-16   1.4e-12   45.5   0.0   373   491   513   626   505   639 0.79 valine--tRNA ligase, putative [Plasmodium vivax]
SCO68829.1           -           1071 2069at5820           -            719   4.4e-40  136.4  14.4   4   4    0.0018       3.7    4.4   0.2   494   549   666   721   652   792 0.76 valine--tRNA ligase, putative [Plasmodium vivax]
SCO65790.1           -           1302 2069at5820           -            719   0.00041   17.5  25.5   1   5   3.1e-05     0.063   10.3   1.6    73   212   158   291   149   327 0.87 leucine--tRNA ligase, putative [Plasmodium vivax]
SCO65790.1           -           1302 2069at5820           -            719   0.00041   17.5  25.5   2   5      0.69   1.4e+03   -4.1   0.0   345   362   603   620   595   621 0.83 leucine--tRNA ligase, putative [Plasmodium vivax]
SCO65790.1           -           1302 2069at5820           -            719   0.00041   17.5  25.5   3   5     0.022        46    0.8   0.1   398   432   709   743   693   791 0.67 leucine--tRNA ligase, putative [Plasmodium vivax]
SCO65790.1           -           1302 2069at5820           -            719   0.00041   17.5  25.5   4   5    0.0032       6.5    3.6   0.3   482   540   919   977   911   983 0.92 leucine--tRNA ligase, putative [Plasmodium vivax]
SCO65790.1           -           1302 2069at5820           -            719   0.00041   17.5  25.5   5   5   5.2e-07     0.001   16.2   3.6   573   651  1098  1180  1073  1202 0.73 leucine--tRNA ligase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2069at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:42 2026
# [ok]
