#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   1  10   7.3e-05      0.44    7.2   0.0     8    29    24    48    19    63 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   2  10  4.6e-156  2.8e-152  507.5  22.6    28   336   134   453   131   458 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   3  10   3.8e-29   2.3e-25   87.6   0.0   337   418   533   618   526   622 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   4  10      0.01        61    0.1   0.0   405   439   637   672   631   677 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   5  10   1.3e-14   7.7e-11   39.5   0.9   443   489   722   779   706   783 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   6  10   1.4e-30   8.8e-27   92.3   0.0   488   568   803   893   797   897 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   7  10   9.9e-38     6e-34  116.0   0.0   569   702   938  1116   932  1125 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   8  10   5.9e-31   3.6e-27   93.5   7.5   690   802  1131  1270  1117  1273 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6   9  10    0.0077        47    0.5   0.1   800   814  1294  1308  1285  1311 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67412.1           -           1510 1877at5820           -            885  5.9e-297  986.2  55.6  10  10   3.2e-17   1.9e-13   48.1   0.0   828   878  1417  1467  1409  1471 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1877at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1877at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1877at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:32 2026
# [ok]
