#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67755.1           -           1011 3175at5820           -            591  2.1e-234  778.1  10.0   1   6   1.7e-08   1.7e-05   22.1   0.0    24    60   159   198   154   206 0.86 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO67755.1           -           1011 3175at5820           -            591  2.1e-234  778.1  10.0   2   6   2.3e-49   2.3e-46  157.1   0.1    59   166   218   336   212   342 0.90 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO67755.1           -           1011 3175at5820           -            591  2.1e-234  778.1  10.0   3   6   2.1e-19   2.1e-16   58.2   0.0   168   223   398   454   392   460 0.91 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO67755.1           -           1011 3175at5820           -            591  2.1e-234  778.1  10.0   4   6     5e-72   5.1e-69  231.9   0.2   225   358   520   659   517   672 0.93 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO67755.1           -           1011 3175at5820           -            591  2.1e-234  778.1  10.0   5   6   9.5e-16   9.6e-13   46.1   0.1   366   429   692   778   687   787 0.81 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO67755.1           -           1011 3175at5820           -            591  2.1e-234  778.1  10.0   6   6   1.9e-80   1.9e-77  259.8   0.1   434   591   835  1009   815  1009 0.89 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO65169.1           -            632 3175at5820           -            591   4.5e-53  179.3  19.9   1   3   5.5e-33   5.5e-30  103.0   9.2    60   319   177   444   116   458 0.76 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO65169.1           -            632 3175at5820           -            591   4.5e-53  179.3  19.9   2   3   2.5e-18   2.6e-15   54.6   1.2   438   535   488   587   471   587 0.83 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO65169.1           -            632 3175at5820           -            591   4.5e-53  179.3  19.9   3   3   4.2e-11   4.2e-08   30.8   0.2   544   590   575   621   570   622 0.86 aspartate--tRNA ligase, putative [Plasmodium vivax]
SCO67800.1           -            751 3175at5820           -            591   1.8e-10   38.6   0.9   1   4      0.13   1.4e+02   -0.6   0.0   170   221   359   410   352   418 0.81 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO67800.1           -            751 3175at5820           -            591   1.8e-10   38.6   0.9   2   4   5.5e-09   5.6e-06   23.8   0.7   261   355   492   592   467   605 0.80 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO67800.1           -            751 3175at5820           -            591   1.8e-10   38.6   0.9   3   4     0.064        64    0.4   0.0   460   509   633   681   619   699 0.70 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO67800.1           -            751 3175at5820           -            591   1.8e-10   38.6   0.9   4   4   0.00016      0.16    9.1   0.0   555   590   705   740   684   741 0.87 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO65636.1           -            580 3175at5820           -            591   8.5e-10   36.4   3.2   1   3    0.0002      0.21    8.7   1.5   248   335   325   406   314   442 0.58 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO65636.1           -            580 3175at5820           -            591   8.5e-10   36.4   3.2   2   3   0.00031      0.32    8.1   0.4   465   525   466   526   397   532 0.83 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO65636.1           -            580 3175at5820           -            591   8.5e-10   36.4   3.2   3   3   4.8e-07   0.00048   17.4   0.0   557   590   536   569   522   570 0.85 asparagine--tRNA ligase, putative [Plasmodium vivax]
SCO69421.1           -            677 3175at5820           -            591   2.6e-09   34.8   5.6   1   2   5.8e-09   5.9e-06   23.7   5.5   196   314   309   425   281   501 0.80 lysine--tRNA ligase, putative [Plasmodium vivax]
SCO69421.1           -            677 3175at5820           -            591   2.6e-09   34.8   5.6   2   2   0.00019      0.19    8.8   0.0   547   589   625   668   612   669 0.81 lysine--tRNA ligase, putative [Plasmodium vivax]
SCO68432.1           -            585 3175at5820           -            591   1.1e-07   29.3   0.1   1   2   2.9e-07   0.00029   18.1   0.1   192   313   253   371   231   381 0.82 lysine--tRNA ligase, putative [Plasmodium vivax]
SCO68432.1           -            585 3175at5820           -            591   1.1e-07   29.3   0.1   2   2   0.00017      0.17    8.9   0.0   555   590   541   576   533   577 0.92 lysine--tRNA ligase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3175at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3175at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:49 2026
# [ok]
