#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   1  12  5.4e-142  3.3e-138  460.7  15.5     1   241     1   245     1   250 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   2  12   3.1e-42   1.9e-38  130.3   4.4   229   317   278   374   275   382 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   3  12   3.5e-10   2.1e-06   24.2   7.4   294   350   403   457   400   461 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   4  12   1.4e-05     0.087    8.9   0.0   348   381   506   545   501   575 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   5  12   9.3e-19   5.6e-15   52.6   0.7   379   430   596   650   583   654 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   6  12   2.6e-24   1.6e-20   71.0   6.1   424   471   700   747   691   763 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   7  12   1.3e-29   7.6e-26   88.6   0.5   472   529   805   862   800   865 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   8  12   4.4e-74   2.7e-70  235.8  16.6   522   646  1077  1201  1069  1228 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7   9  12   0.00027       1.7    4.7   0.5   626   661  1233  1266  1206  1276 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7  10  12  1.8e-114  1.1e-110  369.6   6.4   675   888  1377  1607  1363  1615 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7  11  12   4.9e-63     3e-59  199.2  25.9   882  1039  1793  1973  1780  2000 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69337.1           -           2100 1013at5820           -           1120         0 1723.4 157.7  12  12   7.4e-43   4.5e-39  132.4   0.4  1026  1120  2002  2100  1980  2100 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1013at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1013at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1013at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:27:53 2026
# [ok]
