#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66899.1           -            170 12744at5820          -            161    3e-105  347.5   1.3   1   1  5.6e-108  3.4e-105  347.4   1.3     1   161     3   170     3   170 0.98 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67256.1           -            193 12744at5820          -            161   7.7e-59  196.7   0.9   1   1   1.5e-61   8.9e-59  196.5   0.9     3   159    30   191    28   193 0.92 peptidyl-prolyl cis-trans isomerase 11, putative [Plasmodium vivax]
SCO65010.1           -            262 12744at5820          -            161   2.6e-51  172.2   1.5   1   2        10   6.1e+03   -4.7   1.7    64    79     5    20     3    24 0.82 cyclophilin, putative [Plasmodium vivax]
SCO65010.1           -            262 12744at5820          -            161   2.6e-51  172.2   1.5   2   2   4.4e-54   2.6e-51  172.2   1.5     4   161    95   262    92   262 0.89 cyclophilin, putative [Plasmodium vivax]
SCO69125.1           -            226 12744at5820          -            161   1.2e-45  153.7   0.5   1   1   2.5e-48   1.5e-45  153.5   0.5     3   160     7   173     5   174 0.89 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67794.1           -            751 12744at5820          -            161   2.5e-37  126.8   0.3   1   1   9.2e-40   5.6e-37  125.6   0.3    15   144   608   729   599   737 0.88 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67612.1           -            203 12744at5820          -            161   3.7e-36  123.0   0.2   1   1     1e-38   6.2e-36  122.2   0.2    11   143    53   177    45   189 0.91 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO67262.1           -            167 12744at5820          -            161   1.3e-33  114.6   0.5   1   1   3.5e-36   2.1e-33  114.0   0.5    11   146     8   136     2   149 0.91 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO69913.1           -            276 12744at5820          -            161   1.1e-32  111.6   0.7   1   1   2.5e-35   1.5e-32  111.2   0.7     1   159    61   222    61   224 0.92 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO65026.1           -            590 12744at5820          -            161   6.8e-13   47.3   0.5   1   1   9.7e-14   5.9e-11   41.0   0.5    11   144    17   174     6   195 0.69 peptidyl-prolyl cis-trans isomerase, putative [Plasmodium vivax]
SCO69363.1           -            462 12744at5820          -            161     8e-13   47.1   0.2   1   1   2.4e-15   1.4e-12   46.3   0.2    16   134    25   137    14   150 0.87 cyclophilin, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12744at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12744at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12744at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:30:23 2026
# [ok]
