#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68763.1           -            735 3797at5820           -            571    9e-270  895.1  34.5   1   1  3.2e-272  3.9e-269  893.0  34.5     1   571     1   735     1   735 0.94 D13 protein, putative [Plasmodium vivax]
SCO65900.1           -            529 3797at5820           -            571   1.7e-60  204.2  24.2   1   2   8.5e-34     1e-30  105.9   1.3     3    67     3    67     1    77 0.92 zinc finger protein, putative [Plasmodium vivax]
SCO65900.1           -            529 3797at5820           -            571   1.7e-60  204.2  24.2   2   2   5.5e-33   6.7e-30  103.2  15.5    77   166   113   202    93   462 0.72 zinc finger protein, putative [Plasmodium vivax]
SCO66118.1           -           1457 3797at5820           -            571   3.2e-07   28.3   1.5   1   2   1.5e-09   1.8e-06   25.8   0.4    78   131     9    62     5    67 0.93 zinc finger protein, putative [Plasmodium vivax]
SCO66118.1           -           1457 3797at5820           -            571   3.2e-07   28.3   1.5   2   2     0.058        71    0.7   0.0    79    94    76    91    73   102 0.87 zinc finger protein, putative [Plasmodium vivax]
SCO66596.1           -           1236 3797at5820           -            571    0.0006   17.5   3.2   1   2   4.9e-07    0.0006   17.5   3.2    77   130    14    68    10    77 0.92 zinc finger protein, putative [Plasmodium vivax]
SCO66596.1           -           1236 3797at5820           -            571    0.0006   17.5   3.2   2   2       1.8   2.2e+03   -4.2   2.2   228   241   384   397   326   470 0.39 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 3797at5820           -            571     0.002   15.8   0.6   1   5   1.6e-06     0.002   15.8   0.6    78   131    43    97    31   100 0.90 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 3797at5820           -            571     0.002   15.8   0.6   2   5         5   6.1e+03   -9.4  45.5    82   315    82   338    64   353 0.52 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 3797at5820           -            571     0.002   15.8   0.6   3   5         5   6.1e+03  -11.3  30.5   172   347   353   529   341   564 0.55 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 3797at5820           -            571     0.002   15.8   0.6   4   5         5   6.1e+03  -15.5  38.4   180   370   629   818   606   843 0.48 zinc finger protein, putative [Plasmodium vivax]
SCO67648.1           -            984 3797at5820           -            571     0.002   15.8   0.6   5   5      0.39   4.7e+02   -2.0   0.1   216   262   924   970   914   982 0.75 zinc finger protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3797at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3797at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3797at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:42 2026
# [ok]
