#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69771.1           -           1218 1919at5820           -           1069         0 2019.9 170.4   1   4  7.8e-173  1.2e-169  564.7  21.4     1   289     1   283     1   289 0.94 structural maintenance of chromosome 2, putative [Plasmodium vivax]
SCO69771.1           -           1218 1919at5820           -           1069         0 2019.9 170.4   2   4   5.5e-78   8.4e-75  250.7  48.7   246   435   283   480   278   481 0.92 structural maintenance of chromosome 2, putative [Plasmodium vivax]
SCO69771.1           -           1218 1919at5820           -           1069         0 2019.9 170.4   3   4  2.7e-112  4.1e-109  364.3  17.4   405   626   477   712   472   721 0.91 structural maintenance of chromosome 2, putative [Plasmodium vivax]
SCO69771.1           -           1218 1919at5820           -           1069         0 2019.9 170.4   4   4  1.1e-261  1.7e-258  858.9  62.0   611  1069   720  1213   713  1213 0.95 structural maintenance of chromosome 2, putative [Plasmodium vivax]
SCO67806.1           -           1461 1919at5820           -           1069   3.4e-28   96.4   7.7   1   6   7.9e-17   1.2e-13   48.2   0.1     3    71    58   125    56   144 0.85 chromosome condensation protein, putative [Plasmodium vivax]
SCO67806.1           -           1461 1919at5820           -           1069   3.4e-28   96.4   7.7   2   6    0.0055       8.3    2.4  31.6   103   333   184   438   181   446 0.73 chromosome condensation protein, putative [Plasmodium vivax]
SCO67806.1           -           1461 1919at5820           -           1069   3.4e-28   96.4   7.7   3   6         4   6.1e+03  -20.7  44.3   181   598   328   759   317   764 0.63 chromosome condensation protein, putative [Plasmodium vivax]
SCO67806.1           -           1461 1919at5820           -           1069   3.4e-28   96.4   7.7   4   6         4   6.1e+03  -12.2  21.2   259   384   818   945   782   951 0.59 chromosome condensation protein, putative [Plasmodium vivax]
SCO67806.1           -           1461 1919at5820           -           1069   3.4e-28   96.4   7.7   5   6         4   6.1e+03  -10.7  30.9   608   768   921  1070   917  1090 0.59 chromosome condensation protein, putative [Plasmodium vivax]
SCO67806.1           -           1461 1919at5820           -           1069   3.4e-28   96.4   7.7   6   6   2.2e-20   3.4e-17   60.0   3.5   858  1030  1238  1412  1193  1428 0.77 chromosome condensation protein, putative [Plasmodium vivax]
SCO65934.1           -           1193 1919at5820           -           1069   1.7e-20   70.9  75.3   1   3     2e-12     3e-09   33.7  70.6     1   422     1   434     1   480 0.71 structural maintenance of chromosomes protein 3, putative [Plasmodium vivax]
SCO65934.1           -           1193 1919at5820           -           1069   1.7e-20   70.9  75.3   2   3         4   6.1e+03  -24.3  88.7   433   894   488   993   446  1003 0.70 structural maintenance of chromosomes protein 3, putative [Plasmodium vivax]
SCO65934.1           -           1193 1919at5820           -           1069   1.7e-20   70.9  75.3   3   3   4.4e-17   6.6e-14   49.1   0.1   936  1044  1063  1174  1048  1191 0.88 structural maintenance of chromosomes protein 3, putative [Plasmodium vivax]
SCO67405.1           -           1613 1919at5820           -           1069   3.4e-19   66.6  45.9   1   6   3.1e-17   4.8e-14   49.5  40.2     3   388   230   603   228   624 0.65 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1919at5820           -           1069   3.4e-19   66.6  45.9   2   6         4   6.1e+03  -13.4  20.4   690   796   685   801   614   858 0.47 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1919at5820           -           1069   3.4e-19   66.6  45.9   3   6       2.6     4e+03   -6.5  18.7   210   332  1019  1139  1009  1146 0.69 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1919at5820           -           1069   3.4e-19   66.6  45.9   4   6         4   6.1e+03  -10.4  26.5   279   389  1138  1253  1126  1274 0.52 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1919at5820           -           1069   3.4e-19   66.6  45.9   5   6       1.3   1.9e+03   -5.4  10.8   721   832  1379  1495  1368  1506 0.61 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
SCO67405.1           -           1613 1919at5820           -           1069   3.4e-19   66.6  45.9   6   6   2.1e-11   3.2e-08   30.3   0.3   955  1030  1515  1588  1501  1611 0.89 structural maintenance of chromosomes protein 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1919at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:36:50 2026
# [ok]
