#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67037.1           -            498 5643at5820           -            472  1.2e-282  936.1   9.3   1   1  5.5e-285  1.6e-282  935.6   9.3     1   472     1   497     1   497 0.96 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO67096.1           -            595 5643at5820           -            472   1.6e-21   75.0   5.3   1   4       2.3   6.7e+02   -2.8   5.1    96   185    54   145    43   207 0.69 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 5643at5820           -            472   1.6e-21   75.0   5.3   2   4   5.9e-08   1.7e-05   22.2   0.0   342   396   296   353   284   355 0.89 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 5643at5820           -            472   1.6e-21   75.0   5.3   3   4     6e-10   1.7e-07   28.8   0.0   228   319   352   440   352   443 0.90 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 5643at5820           -            472   1.6e-21   75.0   5.3   4   4   1.4e-13   4.1e-11   40.7   1.2   238   362   404   529   402   575 0.76 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67557.1           -            660 5643at5820           -            472   3.1e-20   70.8  13.6   1   4   1.8e-11   5.2e-09   33.8   0.1   360   454   113   215    89   221 0.81 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 5643at5820           -            472   3.1e-20   70.8  13.6   2   4   3.1e-10   8.9e-08   29.7   1.8   214   394   341   523   337   534 0.77 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 5643at5820           -            472   3.1e-20   70.8  13.6   3   4    0.0029      0.83    6.7   0.1   371   396   542   567   531   575 0.82 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 5643at5820           -            472   3.1e-20   70.8  13.6   4   4    0.0033      0.95    6.5   0.1   364   394   626   659   609   660 0.79 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO65843.1           -            324 5643at5820           -            472   2.6e-19   67.7   9.7   1   3   5.2e-11   1.5e-08   32.3   1.3   269   411    20   163    15   175 0.79 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 5643at5820           -            472   2.6e-19   67.7   9.7   2   3   2.3e-07   6.6e-05   20.3   0.1   338   396   173   234   162   245 0.83 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 5643at5820           -            472   2.6e-19   67.7   9.7   3   3   2.1e-07   6.1e-05   20.4   0.1   334   393   261   322   252   324 0.82 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65804.1           -            322 5643at5820           -            472   1.5e-16   58.6   3.7   1   3   2.4e-11     7e-09   33.4   3.3   239   397    18   189    13   196 0.70 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 5643at5820           -            472   1.5e-16   58.6   3.7   2   3   2.7e-07   7.7e-05   20.0   0.0   347   437   178   277   164   288 0.75 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 5643at5820           -            472   1.5e-16   58.6   3.7   3   3     0.022       6.3    3.8   0.0   336   359   297   320   281   322 0.84 receptor for activated c kinase, putative [Plasmodium vivax]
SCO67789.1           -            646 5643at5820           -            472   6.1e-16   56.6   4.5   1   2      0.71     2e+02   -1.2   9.6   114   157   210   254   186   310 0.76 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67789.1           -            646 5643at5820           -            472   6.1e-16   56.6   4.5   2   2   2.1e-18   6.1e-16   56.6   4.5   207   433   373   608   363   618 0.84 WD repeat-containing protein, putative [Plasmodium vivax]
SCO68325.1           -           1399 5643at5820           -            472   1.1e-13   49.2  11.9   1   3   2.4e-10   6.9e-08   30.1   0.6   213   316    65   165     6   182 0.88 coatomer alpha subunit, putative [Plasmodium vivax]
SCO68325.1           -           1399 5643at5820           -            472   1.1e-13   49.2  11.9   2   3   9.7e-08   2.8e-05   21.5   0.2   237   356   245   364   230   369 0.78 coatomer alpha subunit, putative [Plasmodium vivax]
SCO68325.1           -           1399 5643at5820           -            472   1.1e-13   49.2  11.9   3   3     0.052        15    2.6   1.0   280   390   541   650   512   682 0.77 coatomer alpha subunit, putative [Plasmodium vivax]
SCO68494.1           -            644 5643at5820           -            472   1.9e-12   45.1   1.1   1   4      0.71   2.1e+02   -1.2   0.1    94   159   143   211    99   242 0.74 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68494.1           -            644 5643at5820           -            472   1.9e-12   45.1   1.1   2   4      0.03       8.8    3.4   0.8   335   400   251   323   241   330 0.70 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68494.1           -            644 5643at5820           -            472   1.9e-12   45.1   1.1   3   4   6.5e-15   1.9e-12   45.1   1.1   232   396   422   590   418   600 0.83 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68494.1           -            644 5643at5820           -            472   1.9e-12   45.1   1.1   4   4       1.3   3.9e+02   -2.1   0.0   371   393   607   629   599   638 0.71 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68189.1           -            545 5643at5820           -            472   2.3e-12   44.9  10.6   1   2   2.1e-07   6.1e-05   20.4   1.9   240   327   198   284   190   291 0.82 cleavage stimulation factor subunit 1, putative [Plasmodium vivax]
SCO68189.1           -            545 5643at5820           -            472   2.3e-12   44.9  10.6   2   2   2.8e-10   8.1e-08   29.9   1.3   269   400   291   433   283   439 0.77 cleavage stimulation factor subunit 1, putative [Plasmodium vivax]
SCO69957.1           -            612 5643at5820           -            472   4.6e-10   37.2  20.8   1   3       6.9     2e+03   -4.4   0.8   148   208   229   289   200   293 0.60 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO69957.1           -            612 5643at5820           -            472   4.6e-10   37.2  20.8   2   3   3.1e-05    0.0089   13.2   0.5   360   427   318   394   313   402 0.81 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO69957.1           -            612 5643at5820           -            472   4.6e-10   37.2  20.8   3   3   1.4e-11   4.1e-09   34.1   6.6   206   394   416   612   403   612 0.79 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO68971.1           -           1238 5643at5820           -            472   3.1e-09   34.5  23.0   1   4   4.8e-10   1.4e-07   29.1   0.1   308   400    41   143    21   153 0.78 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68971.1           -           1238 5643at5820           -            472   3.1e-09   34.5  23.0   2   4     0.002      0.57    7.3   0.1   377   404   176   203   154   237 0.83 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68971.1           -           1238 5643at5820           -            472   3.1e-09   34.5  23.0   3   4      0.03       8.6    3.4   0.2   279   370   624   713   605   742 0.44 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68971.1           -           1238 5643at5820           -            472   3.1e-09   34.5  23.0   4   4   0.00042      0.12    9.5   0.9   357   472   866   989   838   989 0.52 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO70158.1           -            472 5643at5820           -            472   2.7e-08   31.4   2.2   1   2   2.6e-09   7.6e-07   26.6   0.4   309   399   195   292   171   301 0.78 polyadenylation factor subunit 2, putative [Plasmodium vivax]
SCO70158.1           -            472 5643at5820           -            472   2.7e-08   31.4   2.2   2   2     0.015       4.2    4.4   0.1   209   269   321   387   304   421 0.73 polyadenylation factor subunit 2, putative [Plasmodium vivax]
SCO67713.1           -           1240 5643at5820           -            472   1.9e-06   25.3  16.5   1   3       4.4   1.3e+03   -3.8   0.0    76   107   326   356   313   370 0.64 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO67713.1           -           1240 5643at5820           -            472   1.9e-06   25.3  16.5   2   3   2.6e-06   0.00075   16.8   4.9   365   469   910  1023   894  1023 0.81 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO67713.1           -           1240 5643at5820           -            472   1.9e-06   25.3  16.5   3   3     2e-06   0.00057   17.2   9.7   237   472   953  1204   947  1204 0.72 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO65022.1           -            365 5643at5820           -            472   1.9e-06   25.3   8.8   1   2   5.3e-05     0.015   12.5   0.2   364   398    12    49     3    60 0.59 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
SCO65022.1           -            365 5643at5820           -            472   1.9e-06   25.3   8.8   2   2   7.2e-06    0.0021   15.3   4.2   212   401    73   265    57   277 0.78 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
SCO70063.1           -            763 5643at5820           -            472   6.2e-06   23.6   6.9   1   2    0.0058       1.7    5.7   2.1   200   287    16   105     6   138 0.55 protein transport protein SEC13, putative [Plasmodium vivax]
SCO70063.1           -            763 5643at5820           -            472   6.2e-06   23.6   6.9   2   2   4.8e-07   0.00014   19.2   0.1   247   354   188   306   185   311 0.73 protein transport protein SEC13, putative [Plasmodium vivax]
SCO67896.1           -            944 5643at5820           -            472   1.2e-05   22.7   6.7   1   3   0.00049      0.14    9.3   0.0   364   397   204   237   156   254 0.84 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67896.1           -            944 5643at5820           -            472   1.2e-05   22.7   6.7   2   3   5.8e-06    0.0017   15.6   0.4   342   396   280   339   270   370 0.80 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67896.1           -            944 5643at5820           -            472   1.2e-05   22.7   6.7   3   3       1.1   3.1e+02   -1.7   0.2   214   292   795   876   780   898 0.66 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO65033.1           -           1073 5643at5820           -            472   1.3e-05   22.6   4.5   1   5       2.9   8.3e+02   -3.2   0.0   407   433    19    45    12    70 0.71 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 5643at5820           -            472   1.3e-05   22.6   4.5   2   5      0.24        70    0.4   0.0   263   320   138   197   117   203 0.66 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 5643at5820           -            472   1.3e-05   22.6   4.5   3   5   5.3e-05     0.015   12.5   0.3   326   471   340   477   290   478 0.60 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 5643at5820           -            472   1.3e-05   22.6   4.5   4   5     0.012       3.3    4.7   0.0   348   396   547   601   523   659 0.75 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 5643at5820           -            472   1.3e-05   22.6   4.5   5   5      0.47   1.4e+02   -0.6   0.0   102   144   736   780   729   849 0.64 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO66204.1           -            654 5643at5820           -            472   1.5e-05   22.4   1.2   1   2   1.6e-06   0.00045   17.5   0.4   283   398   339   457   312   465 0.76 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO66204.1           -            654 5643at5820           -            472   1.5e-05   22.4   1.2   2   2     0.024       6.9    3.7   0.0   283   394   464   583   460   587 0.80 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO68633.1           -           1981 5643at5820           -            472   7.4e-05   20.1   0.5   1   2   2.6e-06   0.00074   16.8   0.1   231   359  1709  1834  1705  1841 0.78 myosin C, putative [Plasmodium vivax]
SCO68633.1           -           1981 5643at5820           -            472   7.4e-05   20.1   0.5   2   2      0.29        85    0.1   0.0   215   268  1921  1977  1917  1979 0.78 myosin C, putative [Plasmodium vivax]
SCO65922.1           -            458 5643at5820           -            472   9.9e-05   19.7   0.0   1   1   7.6e-07   0.00022   18.5   0.0   368   435   329   407   318   450 0.78 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO65417.1           -            644 5643at5820           -            472   0.00059   17.1   0.4   1   1   5.7e-06    0.0016   15.7   0.4   313   447   292   432   259   452 0.70 U3 small nucleolar RNA-associated protein 7, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5643at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5643at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5643at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:55:23 2026
# [ok]
