#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65028.1           -            564 5519at5820           -            481         0 1078.9   6.1   1   1         0         0 1075.9   6.1     1   481     1   564     1   564 0.99 serine/threonine protein phosphatase 2B catalytic subunit A, putative [Plasmodium vivax]
SCO69446.1           -            304 5519at5820           -            481   3.5e-67  225.0   0.7   1   1   7.8e-70   4.8e-67  224.6   0.7    67   327    42   287    26   296 0.93 serine/threonine protein phosphatase PP1, putative [Plasmodium vivax]
SCO66576.1           -            504 5519at5820           -            481   4.6e-62  208.2   0.5   1   1   1.1e-64   6.4e-62  207.7   0.5    62   324   221   474   187   491 0.88 protein phosphatase-beta, putative [Plasmodium vivax]
SCO68067.1           -            682 5519at5820           -            481   2.2e-60  202.6   0.9   1   2      0.47   2.8e+02   -2.2   0.1    23    69   205   251   188   266 0.75 serine/threonine protein phosphatase 5, putative [Plasmodium vivax]
SCO68067.1           -            682 5519at5820           -            481   2.2e-60  202.6   0.9   2   2   3.6e-63   2.2e-60  202.6   0.9    53   336   389   662   376   678 0.90 serine/threonine protein phosphatase 5, putative [Plasmodium vivax]
SCO66978.1           -            308 5519at5820           -            481   4.7e-60  201.5   1.0   1   1     1e-62   6.1e-60  201.2   1.0    57   340    25   293     5   306 0.90 serine/threonine protein phosphatase 6, putative [Plasmodium vivax]
SCO66601.1           -            307 5519at5820           -            481   6.2e-59  197.8   1.5   1   1   1.7e-61     1e-58  197.1   1.5    45   328    11   279     6   290 0.91 serine/threonine protein phosphatase 4, putative [Plasmodium vivax]
SCO68786.1           -            881 5519at5820           -            481   2.8e-49  166.0   0.6   1   1   1.5e-51   8.9e-49  164.3   0.6    63   323   550   830   516   844 0.83 protein phosphatase containing kelch-like domains, putative [Plasmodium vivax]
SCO69362.1           -            956 5519at5820           -            481   3.4e-30  103.0   3.0   1   1   1.1e-32   6.8e-30  102.1   3.0    81   333   240   488   221   497 0.84 serine/threonine protein phosphatase 7, putative [Plasmodium vivax]
SCO66107.1           -           2027 5519at5820           -            481     2e-23   80.7   0.2   1   2    0.0048       2.9    4.3   0.0    61   126  1112  1180  1100  1188 0.77 serine/threonine protein phosphatase 8, putative [Plasmodium vivax]
SCO66107.1           -           2027 5519at5820           -            481     2e-23   80.7   0.2   2   2   6.9e-24   4.2e-21   73.1   0.2   106   319  1227  1473  1222  1496 0.67 serine/threonine protein phosphatase 8, putative [Plasmodium vivax]
SCO68755.1           -            381 5519at5820           -            481   7.5e-07   26.1   0.9   1   1   1.7e-09     1e-06   25.6   0.9    75   217    67   233    42   259 0.69 shewanella-like protein phosphatase 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5519at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5519at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5519at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:53:30 2026
# [ok]
