#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO70062.1           -            376 7425at5820           -            101     3e-62  205.6   0.2   1   2      0.11   1.1e+02    1.7   0.0    10    53   207   253   202   261 0.76 sun-family protein, putative [Plasmodium vivax]
SCO70062.1           -            376 7425at5820           -            101     3e-62  205.6   0.2   2   2   6.5e-64   6.5e-61  201.3   0.1     1   101   269   374   269   374 0.96 sun-family protein, putative [Plasmodium vivax]
SCO67394.1           -            610 7425at5820           -            101   9.2e-11   40.4   3.5   1   3      0.61   6.2e+02   -0.8   0.0     5    36   110   141   108   155 0.75 proliferating-cell nucleolar antigen p120, putative [Plasmodium vivax]
SCO67394.1           -            610 7425at5820           -            101   9.2e-11   40.4   3.5   2   3       1.4   1.4e+03   -1.9   0.1     5    42   172   212   170   223 0.58 proliferating-cell nucleolar antigen p120, putative [Plasmodium vivax]
SCO67394.1           -            610 7425at5820           -            101   9.2e-11   40.4   3.5   3   3   1.4e-13   1.4e-10   39.8   0.1     2    75   379   456   378   463 0.88 proliferating-cell nucleolar antigen p120, putative [Plasmodium vivax]
SCO64899.1           -           1116 7425at5820           -            101   1.6e-07   30.0   0.0   1   1     1e-09     1e-06   27.4   0.0     2    62   346   411   345   425 0.82 tRNA m5C-methyltransferase, putative [Plasmodium vivax]
SCO66130.1           -            546 7425at5820           -            101   1.6e-05   23.6   0.0   1   2       2.4   2.4e+03   -2.7   0.0     1    14   311   324   311   328 0.87 S-adenosyl-L-methionine-dependent methyltransferase, putative [Plasmodium vivax]
SCO66130.1           -            546 7425at5820           -            101   1.6e-05   23.6   0.0   2   2   9.1e-08   9.2e-05   21.1   0.0    20    66   429   475   420   490 0.87 S-adenosyl-L-methionine-dependent methyltransferase, putative [Plasmodium vivax]
SCO67210.1           -            505 7425at5820           -            101      0.01   14.5   1.0   1   3      0.75   7.6e+02   -1.1   0.0    14    56   163   204   152   225 0.62 tRNA m5C-methyltransferase, putative [Plasmodium vivax]
SCO67210.1           -            505 7425at5820           -            101      0.01   14.5   1.0   2   3       1.9   1.9e+03   -2.4   0.0    51    63   267   278   243   294 0.62 tRNA m5C-methyltransferase, putative [Plasmodium vivax]
SCO67210.1           -            505 7425at5820           -            101      0.01   14.5   1.0   3   3   8.8e-05     0.089   11.5   0.3     4    74   340   417   337   428 0.69 tRNA m5C-methyltransferase, putative [Plasmodium vivax]
SCO66859.1           -           1596 7425at5820           -            101      0.48    9.2   8.4   1   3      0.83   8.4e+02   -1.2   0.1    19    62   799   842   794   879 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66859.1           -           1596 7425at5820           -            101      0.48    9.2   8.4   2   3   6.9e-05      0.07   11.9   0.4    33    72   879   919   856   932 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66859.1           -           1596 7425at5820           -            101      0.48    9.2   8.4   3   3         1     1e+03   -1.5   0.9    37    69  1319  1353  1298  1388 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7425at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:58:55 2026
# [ok]
