#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   1  10   4.7e-12   2.9e-08   31.4   0.1     2    32    12    42    11    47 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   2  10   1.7e-13     1e-09   36.2   0.1    32    78    63   109    59   111 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   3  10   1.5e-60     9e-57  191.5   2.1    59   200   159   314   155   318 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   4  10   3.9e-34   2.4e-30  104.3   0.0   201   282   356   437   352   440 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   5  10   2.2e-16   1.3e-12   45.7   0.1   283   324   472   513   468   517 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   6  10   1.7e-32     1e-28   98.8   1.4   324   401   568   646   565   652 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   7  10   5.2e-23   3.2e-19   67.5   0.0   402   455   690   744   686   747 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   8  10   2.7e-06     0.017   12.4   0.0   456   477   768   789   765   794 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7   9  10   1.1e-07   0.00069   16.9   0.0   476   505   823   852   820   856 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69242.1           -           1004 2535at5820           -            536  3.1e-185  615.4  29.7  10  10   6.8e-09   4.1e-05   21.0   0.0   502   534   931   963   923   965 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2535at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2535at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2535at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:55 2026
# [ok]
