#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   1  15         1   6.1e+03  -10.3  16.0   438   865    53   185    16   282 0.48 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   2  15   1.4e-21   8.7e-18   62.1   4.7    10    93   295   385   284   391 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   3  15   3.3e-19     2e-15   54.3   0.1   110   149   441   480   408   501 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   4  15   1.4e-36   8.2e-33  111.8   0.3   154   237   530   616   516   619 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   5  15   4.2e-71   2.6e-67  226.1  21.6   230   366   636   791   632   804 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   6  15   1.4e-15   8.3e-12   42.3   3.8   364   405   843   884   834   892 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   7  15         1   6.1e+03   -8.1  28.6   395   480   966  1054   956  1072 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   8  15   8.1e-07    0.0049   13.3   1.6   407   476  1072  1142  1052  1168 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5   9  15   0.00037       2.2    4.5   0.3   496   534  1282  1320  1228  1334 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5  10  15   2.1e-16   1.3e-12   45.0  10.6   520   621  1466  1572  1441  1585 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5  11  15     3e-22   1.8e-18   64.3   5.8   616   724  1625  1731  1608  1738 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5  12  15     0.019   1.1e+02   -1.2   6.8   400   480  1769  1852  1756  1865 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5  13  15    0.0017        11    2.2   0.1   739   765  1954  1980  1934  2007 0.66 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5  14  15   4.7e-24   2.8e-20   70.3  15.4   772   908  2024  2228  2000  2237 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66867.1           -           2432 682at5820            -           1021  2.9e-247  821.8 213.5  15  15   3.4e-66     2e-62  209.8   4.5   906  1021  2310  2427  2293  2427 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/682at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:53:53 2026
# [ok]
