#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65597.1           -           1346 913at5820            -           1148         0 2638.4  12.3   1   2         0         0 1966.0   4.0     4   850    30   905    28   914 0.98 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
SCO65597.1           -           1346 913at5820            -           1148         0 2638.4  12.3   2   2  4.4e-207  8.8e-204  677.5   1.2   852  1148  1041  1346  1028  1346 0.97 DNA-directed RNA polymerase II subunit RPB2, putative [Plasmodium vivax]
SCO69166.1           -           1433 913at5820            -           1148  1.2e-207  690.3  19.2   1   2    2e-126    4e-123  410.3  13.1     9   786   218  1003   212  1015 0.85 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO69166.1           -           1433 913at5820            -           1148  1.2e-207  690.3  19.2   2   2   3.3e-88   6.6e-85  283.8   0.4   804  1146  1103  1431  1076  1433 0.90 DNA-directed RNA polymerase III subunit RPC2, putative [Plasmodium vivax]
SCO67445.1           -           1585 913at5820            -           1148   1.6e-99  332.2  14.7   1   5   1.1e-08   2.3e-05   20.4   0.5    22   173   107   260    95   278 0.86 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 913at5820            -           1148   1.6e-99  332.2  14.7   2   5     4e-07   0.00081   15.2   0.0   440   508   621   687   551   723 0.69 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 913at5820            -           1148   1.6e-99  332.2  14.7   3   5   4.8e-32   9.6e-29   97.8   0.2   659   782   992  1116   983  1127 0.90 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 913at5820            -           1148   1.6e-99  332.2  14.7   4   5   5.5e-31   1.1e-27   94.3   0.0   886   982  1227  1326  1207  1346 0.92 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
SCO67445.1           -           1585 913at5820            -           1148   1.6e-99  332.2  14.7   5   5     2e-35     4e-32  109.0   2.1   983  1144  1399  1574  1379  1578 0.84 DNA-directed RNA polymerase I subunit RPA2, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/913at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/913at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/913at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:08:46 2026
# [ok]
