#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65637.1           -           1029 2944at5820           -            483  2.4e-250  829.9  35.1   1   3   3.7e-69   4.5e-67  225.5   9.8     4   131     9   141     4   157 0.93 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2944at5820           -            483  2.4e-250  829.9  35.1   2   3     2e-07   2.4e-05   21.9   0.8   125   152   220   248   214   261 0.85 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 2944at5820           -            483  2.4e-250  829.9  35.1   3   3  1.2e-180  1.5e-178  593.1   9.6   153   483   643  1022   620  1022 0.91 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO68440.1           -           1703 2944at5820           -            483   7.8e-29   99.4  16.1   1   3     0.012       1.4    6.1   0.9    10    44   466   500   459   507 0.87 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO68440.1           -           1703 2944at5820           -            483   7.8e-29   99.4  16.1   2   3   3.6e-09   4.4e-07   27.6   4.6   159   298  1155  1302  1120  1313 0.70 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO68440.1           -           1703 2944at5820           -            483   7.8e-29   99.4  16.1   3   3   1.6e-22     2e-20   71.6   0.1   314   441  1492  1631  1437  1639 0.79 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO67330.1           -           1967 2944at5820           -            483   1.2e-26   92.1   1.5   1   2       8.2     1e+03   -3.2   0.2     6    35   126   155   122   165 0.77 calcium-dependent protein kinase 7, putative [Plasmodium vivax]
SCO67330.1           -           1967 2944at5820           -            483   1.2e-26   92.1   1.5   2   2     1e-28   1.2e-26   92.1   1.5   253   443  1515  1717  1495  1736 0.79 calcium-dependent protein kinase 7, putative [Plasmodium vivax]
SCO65042.1           -            721 2944at5820           -            483   1.8e-23   81.7   1.6   1   1   2.1e-25   2.6e-23   81.2   1.6   245   452   452   670   440   696 0.81 protein kinase, putative [Plasmodium vivax]
SCO68907.1           -            861 2944at5820           -            483     3e-22   77.6   7.8   1   2   2.5e-24     3e-22   77.6   7.8   246   441   477   683   457   699 0.83 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO68907.1           -            861 2944at5820           -            483     3e-22   77.6   7.8   2   2         4   4.8e+02   -2.2   0.9   213   253   776   817   739   820 0.76 serine/threonine protein kinase KIN, putative [Plasmodium vivax]
SCO65383.1           -            310 2944at5820           -            483   5.7e-22   76.7   2.8   1   1   5.9e-24   7.1e-22   76.4   2.8   254   457     7   219     1   236 0.79 serine/threonine-protein kinase NEK4, putative [Plasmodium vivax]
SCO70146.1           -            508 2944at5820           -            483   2.9e-21   74.4   3.8   1   1   3.7e-23   4.5e-21   73.8   3.8   247   439   106   307    71   343 0.84 protein kinase 2, putative [Plasmodium vivax]
SCO70216.1           -            755 2944at5820           -            483   6.5e-21   73.3   0.7   1   1     1e-22   1.2e-20   72.3   0.7   243   440   421   629   381   645 0.80 rac-beta serine/threonine protein kinase, putative [Plasmodium vivax]
SCO67639.1           -            288 2944at5820           -            483   1.4e-20   72.1   0.9   1   1   1.7e-22   2.1e-20   71.6   0.9   254   440    15   214     8   225 0.76 NIMA related kinase 2, putative [Plasmodium vivax]
SCO69240.1           -            854 2944at5820           -            483   1.9e-19   68.4   2.4   1   2       1.5   1.8e+02   -0.8   0.1   275   337   398   465   363   470 0.77 cGMP-dependent protein kinase, putative [Plasmodium vivax]
SCO69240.1           -            854 2944at5820           -            483   1.9e-19   68.4   2.4   2   2   1.9e-21   2.3e-19   68.1   0.2   239   447   530   747   505   754 0.81 cGMP-dependent protein kinase, putative [Plasmodium vivax]
SCO68054.1           -           4007 2944at5820           -            483     2e-19   68.3   2.0   1   1   3.1e-21   3.8e-19   67.4   2.0   256   444  1192  1392  1168  1402 0.83 aurora-related kinase 3, putative [Plasmodium vivax]
SCO66678.1           -            341 2944at5820           -            483   2.4e-19   68.1   2.1   1   1   2.5e-21     3e-19   67.8   2.1   238   457    20   247     1   266 0.79 cAMP-dependent protein kinase catalytic subunit, putative [Plasmodium vivax]
SCO65725.1           -           2125 2944at5820           -            483   2.8e-19   67.8   2.2   1   1   3.8e-21   4.7e-19   67.1   2.2   287   450  1743  1912  1721  1937 0.84 protein kinase, putative [Plasmodium vivax]
SCO69359.1           -            284 2944at5820           -            483   3.2e-19   67.6  11.0   1   1   3.4e-21   4.1e-19   67.3  11.0   242   444    13   227     5   268 0.83 calcium-dependent protein kinase, putative [Plasmodium vivax]
SCO68555.1           -            305 2944at5820           -            483     3e-18   64.5   2.6   1   1   3.7e-20   4.5e-18   63.9   2.6   250   449     8   229     4   235 0.72 CDK-related protein kinase 6, putative [Plasmodium vivax]
SCO68159.1           -           2236 2944at5820           -            483   3.8e-18   64.1   4.0   1   2       4.9   5.9e+02   -2.5   0.2   241   271   924   954   919   959 0.88 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO68159.1           -           2236 2944at5820           -            483   3.8e-18   64.1   4.0   2   2   3.1e-20   3.8e-18   64.1   4.0   279   447  2011  2183  1998  2193 0.82 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO67021.1           -            603 2944at5820           -            483     9e-18   62.9   0.3   1   1   1.2e-19   1.5e-17   62.2   0.3   256   438   164   356   134   372 0.81 calcium-dependent protein kinase 3, putative [Plasmodium vivax]
SCO65999.1           -            627 2944at5820           -            483   2.3e-17   61.5   4.2   1   1   3.3e-19     4e-17   60.7   4.2   252   452   283   502   276   506 0.76 cdc2-related protein kinase 1, putative [Plasmodium vivax]
SCO67173.1           -           1333 2944at5820           -            483     4e-16   57.5  17.3   1   5    0.0014      0.17    9.2   1.0     7    44    37    74    16    84 0.71 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 2944at5820           -            483     4e-16   57.5  17.3   2   5       1.7   2.1e+02   -1.0   0.8   162   213   282   334   250   384 0.69 protein kinase, putative [Plasmodium vivax]
