#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66658.1           -            725 7211at5820           -            625    1e-200  667.4   0.0   1   1  4.5e-203  1.5e-200  666.9   0.0     1   625     1   725     1   725 0.76 mRNA processing protein, putative [Plasmodium vivax]
SCO66224.1           -            858 7211at5820           -            625   1.9e-21   75.2  18.3   1   3     0.002      0.68    7.4   0.0    10    39    13    42     8    44 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66224.1           -            858 7211at5820           -            625   1.9e-21   75.2  18.3   2   3   0.00022     0.076   10.5   0.2   142   220   127   205    69   214 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66224.1           -            858 7211at5820           -            625   1.9e-21   75.2  18.3   3   3   2.5e-19   8.6e-17   59.9  10.3   282   624   494   854   475   855 0.50 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69999.1           -            883 7211at5820           -            625   3.7e-10   38.0   1.9   1   3   1.2e-11   4.2e-09   34.5   0.3     6   133    15   148    11   182 0.69 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 7211at5820           -            625   3.7e-10   38.0   1.9   2   3   8.4e-05     0.028   11.9   0.1     8    72   194   255   187   259 0.90 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69999.1           -            883 7211at5820           -            625   3.7e-10   38.0   1.9   3   3       7.2   2.4e+03   -4.4   7.9   426   557   317   446   261   469 0.51 polyadenylate-binding protein, putative [Plasmodium vivax]
SCO69394.1           -            475 7211at5820           -            625   3.6e-09   34.7   7.8   1   2   0.00013     0.043   11.3   0.9     3    83    16    96    14   105 0.88 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69394.1           -            475 7211at5820           -            625   3.6e-09   34.7   7.8   2   2     2e-09   6.8e-07   27.2   1.1     8   143   108   250   106   269 0.71 splicing factor 3B subunit 4, putative [Plasmodium vivax]
SCO69795.1           -            124 7211at5820           -            625   1.8e-08   32.4   3.7   1   1   6.1e-11     2e-08   32.2   3.7     7   107     8   108     1   120 0.84 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 7211at5820           -            625   7.8e-08   30.3   0.0   1   2   2.2e-05    0.0074   13.8   0.0     1    36     1    36     1    58 0.78 RNA-binding protein, putative [Plasmodium vivax]
SCO65839.1           -            292 7211at5820           -            625   7.8e-08   30.3   0.0   2   2   1.5e-05     0.005   14.4   0.0    15    81   163   228   156   251 0.88 RNA-binding protein, putative [Plasmodium vivax]
SCO68028.1           -            513 7211at5820           -            625   3.9e-07   28.0  14.2   1   4       2.7   9.2e+02   -3.0  10.8   421   485     5    67     1    81 0.43 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 7211at5820           -            625   3.9e-07   28.0  14.2   2   4     0.088        30    1.9   0.1     8    53    89   134    86   140 0.93 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 7211at5820           -            625   3.9e-07   28.0  14.2   3   4   7.3e-05     0.025   12.1   0.1     8    70   188   250   184   258 0.95 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO68028.1           -            513 7211at5820           -            625   3.9e-07   28.0  14.2   4   4   1.2e-05    0.0039   14.7   0.0    11   109   376   477   371   509 0.70 CUGBP Elav-like family member 1, putative [Plasmodium vivax]
SCO70005.1           -            110 7211at5820           -            625     6e-07   27.4   0.3   1   1     2e-09   6.6e-07   27.2   0.3     8    82    15    87    11   110 0.80 splicing factor 3B subunit 6, putative [Plasmodium vivax]
