#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67289.1           -            366 10221at5820          -            271  1.4e-117  390.4   6.9   1   3   9.3e-38   4.7e-35  119.7   0.5     1   100     8   129     8   151 0.83 acyl-CoA-binding protein, putative [Plasmodium vivax]
SCO67289.1           -            366 10221at5820          -            271  1.4e-117  390.4   6.9   2   3   1.6e-20   8.1e-18   63.2   0.0    99   155   156   217   149   221 0.89 acyl-CoA-binding protein, putative [Plasmodium vivax]
SCO67289.1           -            366 10221at5820          -            271  1.4e-117  390.4   6.9   3   3   6.5e-63   3.3e-60  202.2   1.5   155   271   244   361   241   361 0.97 acyl-CoA-binding protein, putative [Plasmodium vivax]
SCO69364.1           -            708 10221at5820          -            271   6.7e-23   79.9   1.2   1   3   4.9e-14   2.5e-11   42.0   0.0   161   253   380   475   349   480 0.84 ankyrin, putative [Plasmodium vivax]
SCO69364.1           -            708 10221at5820          -            271   6.7e-23   79.9   1.2   2   3     2e-08     1e-05   23.5   0.0   196   249   487   540   475   557 0.87 ankyrin, putative [Plasmodium vivax]
SCO69364.1           -            708 10221at5820          -            271   6.7e-23   79.9   1.2   3   3   5.8e-05     0.029   12.2   0.1   196   256   620   677   548   682 0.76 ankyrin, putative [Plasmodium vivax]
SCO66158.1           -           1903 10221at5820          -            271     3e-22   77.8   7.3   1   3   3.5e-16   1.8e-13   49.0   0.9   173   257  1061  1145  1049  1155 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66158.1           -           1903 10221at5820          -            271     3e-22   77.8   7.3   2   3   3.4e-09   1.7e-06   26.1   0.2   197   249  1161  1213  1148  1228 0.89 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66158.1           -           1903 10221at5820          -            271     3e-22   77.8   7.3   3   3     0.012         6    4.6   0.0   198   249  1229  1280  1217  1287 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66822.1           -            188 10221at5820          -            271   5.4e-18   63.8   3.4   1   2   4.4e-13   2.2e-10   38.8   0.1   198   262    42   106    35   108 0.95 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO66822.1           -            188 10221at5820          -            271   5.4e-18   63.8   3.4   2   2     9e-10   4.6e-07   28.0   1.0   194   252   104   162   100   175 0.89 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 10221at5820          -            271   7.6e-18   63.3   2.9   1   3         3   1.5e+03   -3.3   0.0   195   235   860   901   849   904 0.66 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 10221at5820          -            271   7.6e-18   63.3   2.9   2   3   4.6e-11   2.3e-08   32.2   0.2   197   248  1199  1250  1129  1252 0.74 SET domain protein, putative [Plasmodium vivax]
SCO67816.1           -           1557 10221at5820          -            271   7.6e-18   63.3   2.9   3   3   7.8e-14   3.9e-11   41.3   0.2   193   269  1228  1304  1224  1306 0.94 SET domain protein, putative [Plasmodium vivax]
SCO66275.1           -            482 10221at5820          -            271   1.4e-16   59.2   0.4   1   3   2.6e-05     0.013   13.3   0.1   150   253    12   117     6   118 0.83 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 10221at5820          -            271   1.4e-16   59.2   0.4   2   3   3.2e-10   1.6e-07   29.4   0.0   175   256    70   153    43   160 0.81 bromodomain protein 1, putative [Plasmodium vivax]
SCO66275.1           -            482 10221at5820          -            271   1.4e-16   59.2   0.4   3   3     2e-09     1e-06   26.8   0.0   198   257   161   219   152   231 0.88 bromodomain protein 1, putative [Plasmodium vivax]
SCO68126.1           -           1842 10221at5820          -            271   1.5e-15   55.8  10.8   1   4    0.0082       4.1    5.1   0.0   214   259  1205  1250  1194  1255 0.88 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 10221at5820          -            271   1.5e-15   55.8  10.8   2   4      0.04        20    2.9   0.0   175   253  1459  1539  1448  1551 0.65 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 10221at5820          -            271   1.5e-15   55.8  10.8   3   4   1.2e-11   6.2e-09   34.1   2.2   180   261  1602  1684  1558  1692 0.83 ankyrin-repeat protein, putative [Plasmodium vivax]
SCO68126.1           -           1842 10221at5820          -            271   1.5e-15   55.8  10.8   4   4   1.4e-05     0.007   14.2   0.3   190   236  1714  1760  1691  1769 0.88 ankyrin-repeat protein, putative [Plasmodium vivax]
