#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   1  17   1.7e-83     1e-79  267.1   0.3     2   173    46   225    45   234 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   2  17   1.1e-61   6.5e-58  194.8   1.0   162   269   257   364   247   374 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   3  17   7.9e-98   4.8e-94  314.6   1.3   263   443   393   575   387   579 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   4  17   1.7e-42     1e-38  131.2   1.9   441   527   652   738   648   742 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   5  17   1.3e-23   8.1e-20   68.6   0.0   524   597   777   852   772   857 0.95 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   6  17   0.00031       1.9    4.4   0.0   598   616   892   910   884   916 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   7  17   1.3e-45   7.8e-42  141.5   5.2   616   732   936  1069   932  1075 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   8  17   1.7e-07    0.0011   15.2   0.0   740   778  1177  1216  1166  1229 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4   9  17   2.1e-12   1.3e-08   31.5   0.0   778   814  1240  1276  1234  1278 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4  10  17   8.5e-09   5.2e-05   19.5   0.1   809   840  1295  1326  1290  1331 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4  11  17   2.2e-15   1.4e-11   41.3   0.0   848   908  1363  1438  1356  1448 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4  12  17   4.7e-14   2.9e-10   37.0   0.1   908   946  1476  1514  1472  1521 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4  13  17   1.7e-19   1.1e-15   55.0   0.0   958  1026  1588  1661  1582  1665 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4  14  17     0.028   1.7e+02   -2.1   0.0  1032  1046  1724  1738  1721  1749 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4  15  17   3.5e-57   2.1e-53  179.9   8.3  1074  1229  1835  2006  1832  2011 0.92 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4  16  17   6.8e-41   4.1e-37  125.9   1.1  1228  1321  2099  2193  2097  2199 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67847.1           -           2364 569at5820            -           1444         0 1774.0  96.4  17  17   5.7e-58   3.4e-54  182.5  11.2  1322  1444  2220  2364  2217  2364 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/569at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/569at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:55:59 2026
# [ok]
