#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65692.1           -            106 14551at5820          -             99   2.5e-60  199.5  13.2   1   1   2.6e-63   3.2e-60  199.2  13.2     1    99     1   106     1   106 0.95 DNA-directed RNA polymerase III subunit RPC10, putative [Plasmodium vivax]
SCO69814.1           -            435 14551at5820          -             99   1.3e-08   33.7   0.8   1   4       2.8   3.4e+03   -3.0   0.0    53    76    35    58    27    66 0.58 transcription elongation factor s-II, putative [Plasmodium vivax]
SCO69814.1           -            435 14551at5820          -             99   1.3e-08   33.7   0.8   2   4       2.1   2.5e+03   -2.6   0.2    61    61   112   112    82   143 0.57 transcription elongation factor s-II, putative [Plasmodium vivax]
SCO69814.1           -            435 14551at5820          -             99   1.3e-08   33.7   0.8   3   4       1.8   2.2e+03   -2.4   0.3    31    52   311   332   292   348 0.65 transcription elongation factor s-II, putative [Plasmodium vivax]
SCO69814.1           -            435 14551at5820          -             99   1.3e-08   33.7   0.8   4   4     1e-11   1.3e-08   33.7   0.8    46    98   382   434   354   435 0.78 transcription elongation factor s-II, putative [Plasmodium vivax]
SCO65303.1           -            462 14551at5820          -             99     1e-06   27.5   3.0   1   2      0.78   9.5e+02   -1.2   0.5    21    36   292   308   274   320 0.61 transcription factor, putative [Plasmodium vivax]
SCO65303.1           -            462 14551at5820          -             99     1e-06   27.5   3.0   2   2   8.6e-10     1e-06   27.5   3.0    30    95   393   456   373   459 0.83 transcription factor, putative [Plasmodium vivax]
SCO69335.1           -           1143 14551at5820          -             99    0.0023   16.8   0.6   1   2         2   2.4e+03   -2.5   1.2    21    52   238   269   225   278 0.65 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69335.1           -           1143 14551at5820          -             99    0.0023   16.8   0.6   2   2   1.9e-06    0.0023   16.8   0.6    28    89   846   907   820   920 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70161.1           -           2106 14551at5820          -             99    0.0039   16.1   1.3   1   1     7e-06    0.0086   15.0   1.3     2    52  1051  1100  1050  1120 0.79 RNA-binding protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14551at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:35:38 2026
# [ok]
