#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65426.1           -            258 11629at5820          -            188  8.5e-105  346.7   7.7   1   2   1.7e-52   2.1e-49  166.1   0.2     1    89    11    99    11   102 0.99 dynactin subunit 5, putative [Plasmodium vivax]
SCO65426.1           -            258 11629at5820          -            188  8.5e-105  346.7   7.7   2   2   7.4e-58     9e-55  183.6   2.6    87   188   155   256   154   256 0.98 dynactin subunit 5, putative [Plasmodium vivax]
SCO69385.1           -            452 11629at5820          -            188   4.1e-07   28.2   5.4   1   2   4.7e-07   0.00057   17.9   2.3   100   142   344   387   332   392 0.54 mannose-1-phosphate guanyltransferase, putative [Plasmodium vivax]
SCO69385.1           -            452 11629at5820          -            188   4.1e-07   28.2   5.4   2   2     2e-05     0.024   12.6   0.1    96   148   387   439   385   449 0.84 mannose-1-phosphate guanyltransferase, putative [Plasmodium vivax]
SCO69900.1           -           1016 11629at5820          -            188   0.00012   20.2  11.6   1   2   4.9e-06     0.006   14.6   7.4    86   139   387   437   368   442 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69900.1           -           1016 11629at5820          -            188   0.00012   20.2  11.6   2   2   0.00075      0.91    7.5   0.2   119   158   440   479   437   487 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68659.1           -            479 11629at5820          -            188   0.00014   20.0   8.3   1   3      0.51   6.2e+02   -1.7   0.0   106   126   228   248   218   254 0.83 translation initiation factor eIF-2B subunit gamma, putative [Plasmodium vivax]
SCO68659.1           -            479 11629at5820          -            188   0.00014   20.0   8.3   2   3   0.00046      0.55    8.2   0.3   103   146   383   426   364   429 0.69 translation initiation factor eIF-2B subunit gamma, putative [Plasmodium vivax]
SCO68659.1           -            479 11629at5820          -            188   0.00014   20.0   8.3   3   3   4.3e-06    0.0053   14.8   3.5    98   147   424   472   416   476 0.84 translation initiation factor eIF-2B subunit gamma, putative [Plasmodium vivax]
SCO69665.1           -            870 11629at5820          -            188    0.0096   14.0   2.6   1   2   0.00026      0.31    9.0   0.6   110   150   234   274   205   327 0.61 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69665.1           -            870 11629at5820          -            188    0.0096   14.0   2.6   2   2     0.022        26    2.8   0.1   116   148   336   368   313   385 0.53 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11629at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11629at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11629at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:33:55 2026
# [ok]
