#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67557.1           -            660 4853at5820           -            513  1.8e-304 1008.1  28.4   1   2  1.1e-137  1.9e-135  450.5   5.1     5   230    10   241     2   258 0.93 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO67557.1           -            660 4853at5820           -            513  1.8e-304 1008.1  28.4   2   2  6.2e-171  1.1e-168  560.2  15.4   229   512   329   659   319   660 0.98 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO65804.1           -            322 4853at5820           -            513   3.2e-26   90.1  15.8   1   5    0.0013      0.22    8.2   0.2   265   301    17    52     2    60 0.84 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 4853at5820           -            513   3.2e-26   90.1  15.8   2   5   3.8e-16   6.6e-14   49.5   0.8   386   461    66   141    61   148 0.95 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 4853at5820           -            513   3.2e-26   90.1  15.8   3   5   1.1e-07   1.9e-05   21.7   0.3   265   322   153   209   141   211 0.88 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 4853at5820           -            513   3.2e-26   90.1  15.8   4   5   9.9e-05     0.017   11.9   0.1   478   512   194   228   191   230 0.84 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65804.1           -            322 4853at5820           -            513   3.2e-26   90.1  15.8   5   5   3.5e-05     0.006   13.4   0.0   117   187   243   318   237   322 0.80 receptor for activated c kinase, putative [Plasmodium vivax]
SCO65843.1           -            324 4853at5820           -            513   1.2e-25   88.3   7.8   1   4   1.4e-14   2.4e-12   44.4   0.4   386   467    32   114    23   126 0.85 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 4853at5820           -            513   1.2e-25   88.3   7.8   2   4     9e-05     0.016   12.0   0.2   427   462   116   150   110   167 0.83 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 4853at5820           -            513   1.2e-25   88.3   7.8   3   4     4e-06   0.00069   16.5   0.1   279   327   170   218   156   230 0.89 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO65843.1           -            324 4853at5820           -            513   1.2e-25   88.3   7.8   4   4   1.1e-06   0.00019   18.3   0.0   121   183   260   321   252   324 0.88 U5 snrnp-specific protein, putative [Plasmodium vivax]
SCO68325.1           -           1399 4853at5820           -            513   1.3e-21   74.9   4.7   1   4   0.00041     0.072    9.8   0.0   392   465    10    82     3    86 0.91 coatomer alpha subunit, putative [Plasmodium vivax]
SCO68325.1           -           1399 4853at5820           -            513   1.3e-21   74.9   4.7   2   4   3.1e-10   5.4e-08   30.0   0.4   385   481    87   184    80   198 0.75 coatomer alpha subunit, putative [Plasmodium vivax]
SCO68325.1           -           1399 4853at5820           -            513   1.3e-21   74.9   4.7   3   4    0.0038      0.65    6.7   0.0   106   145   240   279   231   284 0.85 coatomer alpha subunit, putative [Plasmodium vivax]
SCO68325.1           -           1399 4853at5820           -            513   1.3e-21   74.9   4.7   4   4   2.4e-09   4.1e-07   27.1   0.1   109   186   287   364   281   369 0.85 coatomer alpha subunit, putative [Plasmodium vivax]
SCO68494.1           -            644 4853at5820           -            513   1.6e-20   71.4   8.2   1   3     2e-05    0.0034   14.2   0.3   384   458   236   309   199   333 0.71 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68494.1           -            644 4853at5820           -            513   1.6e-20   71.4   8.2   2   3   7.6e-09   1.3e-06   25.4   0.0   112   209   428   526   423   528 0.88 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO68494.1           -            644 4853at5820           -            513   1.6e-20   71.4   8.2   3   3   1.4e-11   2.4e-09   34.5   1.8   353   468   523   637   511   640 0.88 U4/U6 small nuclear ribonucleoprotein PRP4, putative [Plasmodium vivax]
SCO67789.1           -            646 4853at5820           -            513   3.9e-20   70.1   7.7   1   5       1.4   2.4e+02   -1.8   1.5   342   392   235   286   211   311 0.66 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67789.1           -            646 4853at5820           -            513   3.9e-20   70.1   7.7   2   5   1.7e-07     3e-05   21.0   0.1   111   179   361   429   349   430 0.92 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67789.1           -            646 4853at5820           -            513   3.9e-20   70.1   7.7   3   5   1.2e-12   2.2e-10   37.9   0.1   122   210   414   502   413   504 0.95 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67789.1           -            646 4853at5820           -            513   3.9e-20   70.1   7.7   4   5     2e-10   3.5e-08   30.6   1.0   386   463   486   563   479   570 0.94 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67789.1           -            646 4853at5820           -            513   3.9e-20   70.1   7.7   5   5     0.034       5.8    3.5   0.0   279   314   583   617   577   638 0.77 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67037.1           -            498 4853at5820           -            513   6.4e-20   69.4  10.8   1   4   3.6e-05    0.0062   13.3   0.5   357   419   223   283    70   291 0.76 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO67037.1           -            498 4853at5820           -            513   6.4e-20   69.4  10.8   2   4   3.9e-08   6.8e-06   23.1   0.5   354   468   220   333   209   356 0.76 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO67037.1           -            498 4853at5820           -            513   6.4e-20   69.4  10.8   3   4   1.7e-06    0.0003   17.7   0.0   110   198   296   384   289   384 0.95 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO67037.1           -            498 4853at5820           -            513   6.4e-20   69.4  10.8   4   4   3.8e-15   6.6e-13   46.2   2.1    98   209   369   480   367   498 0.84 pre-mRNA-processing factor 19, putative [Plasmodium vivax]
SCO67096.1           -            595 4853at5820           -            513   1.1e-18   65.3  11.7   1   4       2.2   3.9e+02   -2.5   0.3   213   239   156   179   125   201 0.57 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 4853at5820           -            513   1.1e-18   65.3  11.7   2   4   5.4e-08   9.3e-06   22.6   2.0   107   198   273   364   188   365 0.77 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 4853at5820           -            513   1.1e-18   65.3  11.7   3   4   1.7e-13     3e-11   40.8   0.0   112   210   362   460   359   473 0.94 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO67096.1           -            595 4853at5820           -            513   1.1e-18   65.3  11.7   4   4    0.0017       0.3    7.8   0.0   115   146   545   576   528   584 0.72 pre-mRNA-splicing factor PRP46, putative [Plasmodium vivax]
SCO65322.1           -            499 4853at5820           -            513   1.7e-18   64.7   4.5   1   3   7.8e-10   1.4e-07   28.7   0.0    95   181    44   133    31   145 0.85 protein SOF1, putative [Plasmodium vivax]
SCO65322.1           -            499 4853at5820           -            513   1.7e-18   64.7   4.5   2   3      0.31        53    0.4   0.0   135   177   229   271   210   289 0.62 protein SOF1, putative [Plasmodium vivax]
SCO65322.1           -            499 4853at5820           -            513   1.7e-18   64.7   4.5   3   3   3.2e-11   5.5e-09   33.3   2.8   354   463   301   410   232   435 0.78 protein SOF1, putative [Plasmodium vivax]
SCO69195.1           -            694 4853at5820           -            513   1.5e-16   58.3  20.5   1   4   3.4e-06   0.00058   16.7   0.1   476   512     5    41     2    42 0.92 cytosolic iron-sulfur protein assembly protein 1, putative [Plasmodium vivax]
SCO69195.1           -            694 4853at5820           -            513   1.5e-16   58.3  20.5   2   4   5.2e-07     9e-05   19.4   0.7   388   460    84   159    45   182 0.79 cytosolic iron-sulfur protein assembly protein 1, putative [Plasmodium vivax]
SCO69195.1           -            694 4853at5820           -            513   1.5e-16   58.3  20.5   3   4   8.4e-08   1.5e-05   22.0   1.7   390   463   247   323   223   336 0.61 cytosolic iron-sulfur protein assembly protein 1, putative [Plasmodium vivax]
SCO69195.1           -            694 4853at5820           -            513   1.5e-16   58.3  20.5   4   4   0.00049     0.086    9.6   1.3   382   462   602   691   588   694 0.69 cytosolic iron-sulfur protein assembly protein 1, putative [Plasmodium vivax]
SCO67713.1           -           1240 4853at5820           -            513   1.9e-16   57.9  27.3   1   3       2.9     5e+02   -2.9   1.3   218   248   166   197   162   199 0.61 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO67713.1           -           1240 4853at5820           -            513   1.9e-16   57.9  27.3   2   3   4.2e-15   7.2e-13   46.1   6.9   382   506   905  1021   879  1028 0.78 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO67713.1           -           1240 4853at5820           -            513   1.9e-16   57.9  27.3   3   3   1.3e-08   2.2e-06   24.7   7.9   259   464   990  1208   987  1226 0.72 WD repeat-containing protein 26, putative [Plasmodium vivax]
SCO66379.1           -           1013 4853at5820           -            513   3.3e-16   57.1   9.9   1   2   5.4e-07   9.4e-05   19.3   1.8   284   423    39   175     5   183 0.73 coatomer subunit beta, putative [Plasmodium vivax]
SCO66379.1           -           1013 4853at5820           -            513   3.3e-16   57.1   9.9   2   2   1.2e-13   2.1e-11   41.3   1.5   108   206   183   283   175   289 0.90 coatomer subunit beta, putative [Plasmodium vivax]
SCO65022.1           -            365 4853at5820           -            513   4.9e-16   56.6  10.0   1   4   4.6e-14     8e-12   42.7   2.3   109   200    11   103     3   139 0.82 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
SCO65022.1           -            365 4853at5820           -            513   4.9e-16   56.6  10.0   2   4     0.043       7.4    3.2   0.0   146   193   137   182   106   187 0.77 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
SCO65022.1           -            365 4853at5820           -            513   4.9e-16   56.6  10.0   3   4   2.2e-05    0.0039   14.0   0.3   394   463   189   260   184   278 0.83 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
SCO65022.1           -            365 4853at5820           -            513   4.9e-16   56.6  10.0   4   4       2.7   4.8e+02   -2.8   0.0   358   374   344   360   339   362 0.83 mitogen-activated protein kinase organizer 1, putative [Plasmodium vivax]
SCO66204.1           -            654 4853at5820           -            513   1.4e-15   55.1  15.3   1   3   0.00044     0.077    9.7   0.1   118   204   345   430   342   432 0.80 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO66204.1           -            654 4853at5820           -            513   1.4e-15   55.1  15.3   2   3   8.7e-12   1.5e-09   35.2   0.2   108   197   418   510   409   519 0.88 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO66204.1           -            654 4853at5820           -            513   1.4e-15   55.1  15.3   3   3     1e-06   0.00018   18.4   0.0   103   145   544   585   519   589 0.78 cell division cycle protein 20 homolog, putative [Plasmodium vivax]
SCO69957.1           -            612 4853at5820           -            513   3.4e-14   50.5  10.6   1   4   5.8e-10     1e-07   29.1   0.1   388   466   320   400   298   426 0.76 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO69957.1           -            612 4853at5820           -            513   3.4e-14   50.5  10.6   2   4   3.8e-05    0.0065   13.3   0.3   113   191   449   527   432   540 0.86 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO69957.1           -            612 4853at5820           -            513   3.4e-14   50.5  10.6   3   4    0.0016      0.28    7.9   0.2   481   512   536   569   530   570 0.84 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO69957.1           -            612 4853at5820           -            513   3.4e-14   50.5  10.6   4   4   0.00031     0.054   10.2   1.7   362   418   556   611   539   612 0.87 pre-mRNA-processing factor 17, putative [Plasmodium vivax]
SCO65033.1           -           1073 4853at5820           -            513   2.5e-13   47.6   1.4   1   3    0.0017       0.3    7.8   0.1   426   513   153   236   114   236 0.73 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 4853at5820           -            513   2.5e-13   47.6   1.4   2   3   1.3e-08   2.2e-06   24.7   0.1   334   421   392   481   342   493 0.76 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO65033.1           -           1073 4853at5820           -            513   2.5e-13   47.6   1.4   3   3   7.9e-05     0.014   12.2   0.0   104   198   557   658   530   713 0.73 periodic tryptophan protein 2, putative [Plasmodium vivax]
SCO68971.1           -           1238 4853at5820           -            513   6.5e-13   46.2  25.0   1   7       1.4   2.4e+02   -1.8   0.0   229   265    19    55    16    60 0.78 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68971.1           -           1238 4853at5820           -            513   6.5e-13   46.2  25.0   2   7   7.8e-08   1.3e-05   22.1   0.3    96   165    91   159    67   174 0.68 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68971.1           -           1238 4853at5820           -            513   6.5e-13   46.2  25.0   3   7   0.00037     0.065   10.0   0.1   126   185   176   234   169   272 0.83 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
