#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69018.1           -            596 6335at5820           -            474  3.7e-258  855.3  58.9   1   2  3.7e-200  2.5e-197  654.7  49.0     1   368     1   399     1   416 0.96 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69018.1           -            596 6335at5820           -            474  3.7e-258  855.3  58.9   2   2   4.8e-64   3.2e-61  205.9   2.3   367   473   489   595   473   596 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 6335at5820           -            474   1.6e-11   42.0  15.5   1   2   3.2e-11   2.1e-08   31.7   2.5   227   355   197   325   159   337 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 6335at5820           -            474   1.6e-11   42.0  15.5   2   2   1.5e-06     0.001   16.3  10.7   135   331   302   489   298   512 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68206.1           -            986 6335at5820           -            474   7.7e-10   36.4   0.1   1   4      0.13        90   -0.0   0.5   236   261   110   135    75   191 0.82 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68206.1           -            986 6335at5820           -            474   7.7e-10   36.4   0.1   2   4      0.76   5.1e+02   -2.5   1.8   247   294   225   277   200   285 0.72 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68206.1           -            986 6335at5820           -            474   7.7e-10   36.4   0.1   3   4      0.28   1.9e+02   -1.1   2.4   193   239   413   455   384   475 0.66 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68206.1           -            986 6335at5820           -            474   7.7e-10   36.4   0.1   4   4   1.1e-12   7.7e-10   36.4   0.1   265   339   520   594   515   602 0.94 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66268.1           -            512 6335at5820           -            474   2.5e-09   34.8  10.9   1   1   5.6e-12   3.8e-09   34.2  10.9   189   391    94   289    55   305 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 6335at5820           -            474   3.7e-08   30.9  38.4   1   2   2.3e-08   1.6e-05   22.2  15.6   195   364   121   289    96   301 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69971.1           -            836 6335at5820           -            474   3.7e-08   30.9  38.4   2   2   8.9e-06     0.006   13.7  14.7   198   336   318   460   300   492 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69985.1           -            446 6335at5820           -            474   4.7e-08   30.5   5.8   1   2     7e-11   4.7e-08   30.5   5.8    17   146    75   202    57   207 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69985.1           -            446 6335at5820           -            474   4.7e-08   30.5   5.8   2   2       1.3     9e+02   -3.3   0.1   290   310   345   365   332   398 0.64 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 6335at5820           -            474   4.8e-05   20.6   3.9   1   3   3.4e-06    0.0023   15.1   0.2   289   358    63   133    32   212 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 6335at5820           -            474   4.8e-05   20.6   3.9   2   3      0.17   1.1e+02   -0.4   0.0   288   353   418   483   393   488 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66475.1           -            719 6335at5820           -            474   4.8e-05   20.6   3.9   3   3    0.0039       2.6    5.0   0.1   287   377   524   616   520   646 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70021.1           -           1239 6335at5820           -            474   0.00016   18.9  23.7   1   4      0.16   1.1e+02   -0.3   0.4   299   351   112   164    76   180 0.81 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 6335at5820           -            474   0.00016   18.9  23.7   2   4     0.092        62    0.5   0.1    99   161   253   315   225   324 0.71 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 6335at5820           -            474   0.00016   18.9  23.7   3   4   5.6e-07   0.00038   17.7   2.3   231   329   409   506   406   549 0.83 RAP protein, putative [Plasmodium vivax]
SCO70021.1           -           1239 6335at5820           -            474   0.00016   18.9  23.7   4   4   6.4e-05     0.044   10.9   4.3   144   339   600   786   598   799 0.81 RAP protein, putative [Plasmodium vivax]
SCO68310.1           -           1215 6335at5820           -            474       0.5    7.4  27.4   1   5       2.2   1.5e+03   -4.1   0.0   291   327    89   125    84   133 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 6335at5820           -            474       0.5    7.4  27.4   2   5    0.0058       3.9    4.4   0.2   195   224   198   227   182   236 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 6335at5820           -            474       0.5    7.4  27.4   3   5    0.0089         6    3.8   5.8    71   319   352   444   338   488 0.53 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 6335at5820           -            474       0.5    7.4  27.4   4   5    0.0071       4.8    4.1   1.4   198   269   559   601   552   657 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 6335at5820           -            474       0.5    7.4  27.4   5   5   0.00035      0.24    8.5   0.1   299   347   738   786   731   794 0.90 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6335at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6335at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6335at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:02:40 2026
# [ok]
