#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   1  23   1.8e-26   1.1e-22   77.3  21.2    26   175   264   474   237   490 0.68 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   2  23   4.1e-80   2.5e-76  255.2  12.0   171   361   622   811   615   830 0.89 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   3  23  1.4e-118  8.6e-115  382.9  37.2   318   564   956  1221   940  1248 0.82 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   4  23  6.9e-100   4.2e-96  320.9  37.3   566   772  1299  1510  1282  1534 0.85 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   5  23  1.2e-240  7.2e-237  787.9  89.3   726  1099  1545  1922  1532  1936 0.92 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   6  23   6.8e-41   4.2e-37  125.1   4.7  1092  1185  2116  2215  2108  2219 0.92 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   7  23   8.6e-26   5.2e-22   75.0   0.8  1186  1245  2277  2336  2274  2359 0.87 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   8  23   1.2e-66   7.4e-63  210.5  11.6  1255  1395  2422  2571  2419  2577 0.94 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0   9  23   9.1e-21   5.5e-17   58.3   5.0  1379  1467  2709  2812  2681  2835 0.71 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  10  23   2.1e-33   1.3e-29  100.2  14.0  1407  1625  2912  3155  2872  3216 0.73 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  11  23         1   6.1e+03  -12.8  11.6  1595  1682  3437  3526  3431  3540 0.61 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  12  23     0.026   1.6e+02   -2.9  11.8  1630  1720  3705  3790  3667  3838 0.64 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  13  23   0.00062       3.8    2.5   8.0  1698  1747  3858  3906  3774  3913 0.68 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  14  23         1   6.1e+03  -15.4  32.7  1608  1842  4029  4266  4006  4278 0.57 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  15  23         1   6.1e+03  -29.8  51.3  1723  1844  4274  4386  4256  4397 0.25 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  16  23         1   6.1e+03  -19.7  34.8  1724  1846  4358  4480  4349  4496 0.47 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  17  23   1.8e-30   1.1e-26   90.5   0.7  1832  1908  4533  4609  4500  4627 0.81 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  18  23   1.4e-61   8.4e-58  193.8  13.4  1907  2136  4749  5072  4741  5080 0.74 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  19  23   2.1e-47   1.3e-43  146.7  13.6  2153  2271  5232  5358  5210  5374 0.79 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  20  23   5.5e-94   3.4e-90  301.3  31.2  2254  2430  5456  5640  5442  5646 0.87 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  21  23   9.5e-75   5.7e-71  237.4  22.2  2430  2608  5753  5955  5745  5980 0.86 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  22  23   5.6e-09   3.4e-05   19.2   4.8  2599  2663  6004  6089  5980  6106 0.74 SET domain protein, putative [Plasmodium vivax]
SCO68100.1           -           6608 54at5820             -           3125         0 4179.5 659.0  23  23  7.1e-299  4.3e-295  981.1  47.6  2659  3125  6126  6608  6117  6608 0.97 SET domain protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/54at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/54at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/54at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:53:06 2026
# [ok]
